lon,lat,extrapolacao,cenario,classe
-60.41666666666667,5.083333333333336,1,ssp126,Com extrapolação
-60.25,5.083333333333336,1,ssp126,Com extrapolação
-60.41666666666667,4.916666666666669,1,ssp126,Com extrapolação
-60.25,4.916666666666669,1,ssp126,Com extrapolação
-60.583333333333336,4.750000000000003,1,ssp126,Com extrapolação
-60.41666666666667,4.750000000000003,1,ssp126,Com extrapolação
-60.25,4.750000000000003,1,ssp126,Com extrapolação
-60.75,4.583333333333336,1,ssp126,Com extrapolação
-60.583333333333336,4.583333333333336,1,ssp126,Com extrapolação
-60.41666666666667,4.583333333333336,1,ssp126,Com extrapolação
-60.25,4.583333333333336,1,ssp126,Com extrapolação
-61.083333333333336,4.416666666666669,1,ssp126,Com extrapolação
-60.91666666666667,4.416666666666669,1,ssp126,Com extrapolação
-60.75,4.416666666666669,1,ssp126,Com extrapolação
-60.583333333333336,4.416666666666669,1,ssp126,Com extrapolação
-60.41666666666667,4.416666666666669,1,ssp126,Com extrapolação
-60.25,4.416666666666669,1,ssp126,Com extrapolação
-60.083333333333336,4.416666666666669,1,ssp126,Com extrapolação
-61.41666666666667,4.250000000000003,1,ssp126,Com extrapolação
-61.25,4.250000000000003,1,ssp126,Com extrapolação
-61.083333333333336,4.250000000000003,1,ssp126,Com extrapolação
-60.91666666666667,4.250000000000003,1,ssp126,Com extrapolação
-60.75,4.250000000000003,1,ssp126,Com extrapolação
-60.583333333333336,4.250000000000003,1,ssp126,Com extrapolação
-60.41666666666667,4.250000000000003,1,ssp126,Com extrapolação
-60.25,4.250000000000003,1,ssp126,Com extrapolação
-60.083333333333336,4.250000000000003,1,ssp126,Com extrapolação
-59.91666666666667,4.250000000000003,1,ssp126,Com extrapolação
-61.75,4.083333333333336,1,ssp126,Com extrapolação
-61.583333333333336,4.083333333333336,1,ssp126,Com extrapolação
-61.41666666666667,4.083333333333336,1,ssp126,Com extrapolação
-61.25,4.083333333333336,1,ssp126,Com extrapolação
-61.083333333333336,4.083333333333336,1,ssp126,Com extrapolação
-60.91666666666667,4.083333333333336,1,ssp126,Com extrapolação
-60.75,4.083333333333336,1,ssp126,Com extrapolação
-60.583333333333336,4.083333333333336,1,ssp126,Com extrapolação
-60.41666666666667,4.083333333333336,1,ssp126,Com extrapolação
-60.25,4.083333333333336,1,ssp126,Com extrapolação
-60.083333333333336,4.083333333333336,1,ssp126,Com extrapolação
-59.91666666666667,4.083333333333336,1,ssp126,Com extrapolação
-51.41666666666667,4.083333333333336,1,ssp126,Com extrapolação
-64.25,3.916666666666669,1,ssp126,Com extrapolação
-62.583333333333336,3.916666666666669,1,ssp126,Com extrapolação
-62.41666666666667,3.916666666666669,1,ssp126,Com extrapolação
-62.25,3.916666666666669,1,ssp126,Com extrapolação
-62.083333333333336,3.916666666666669,1,ssp126,Com extrapolação
-61.91666666666667,3.916666666666669,1,ssp126,Com extrapolação
-61.75,3.916666666666669,0,ssp126,Sem extrapolação
-61.583333333333336,3.916666666666669,1,ssp126,Com extrapolação
-61.41666666666667,3.916666666666669,1,ssp126,Com extrapolação
-61.25,3.916666666666669,1,ssp126,Com extrapolação
-61.083333333333336,3.916666666666669,1,ssp126,Com extrapolação
-60.91666666666667,3.916666666666669,0,ssp126,Sem extrapolação
-60.75,3.916666666666669,0,ssp126,Sem extrapolação
-60.583333333333336,3.916666666666669,1,ssp126,Com extrapolação
-60.41666666666667,3.916666666666669,1,ssp126,Com extrapolação
-60.25,3.916666666666669,1,ssp126,Com extrapolação
-60.083333333333336,3.916666666666669,1,ssp126,Com extrapolação
