cenario,periodo,gcm,n_pixels,MOP_min,MOP_q25,MOP_mediana,MOP_media,MOP_q75,MOP_max,MOP_sd,limiar_mop,n_extrapolacao,prop_extrapolacao
ssp126,2061-2080,MIROC6,12053,0.6723479273773254,1.444512513328197,1.6537610912835967,1.6844176414792187,1.8910291474485417,6.996987751657646,0.3839876102607698,1.778110529542044,4332,0.35941259437484446
ssp245,2061-2080,MIROC6,12053,1.0080679994064456,2.358415455935514,2.719387670495727,2.724840539051633,3.0998777839123184,7.598147701862766,0.5354239402356864,1.778110529542044,11630,0.9649050029038414
ssp370,2061-2080,MIROC6,12053,1.7352249434382567,3.6623235438438324,4.218882973398774,4.179820119497606,4.713189049847658,8.958113681574362,0.7230810087891004,1.778110529542044,12049,0.9996681324151664
ssp585,2061-2080,MIROC6,12053,3.4561102800311416,5.513417986931011,6.217611979879833,6.142306607769046,6.783152990887519,10.659922867885498,0.8553258520080345,1.778110529542044,12053,1
