variavel,min_cal,max_cal,media_cal,sd_cal,amplitude_cal
bio3_isotermalidade,65.4479751586914,91.11497497558594,78.40414581914102,6.2826976311429,25.66699981689453
bio4_sazonalidade_temperatura,23.33769798278809,167.44207763671875,50.16198817837623,17.863748822845714,144.10437965393066
bio5_temp_max_mes_quente,28.695249557495117,36.36125183105469,32.51784556911838,1.0520246738215087,7.66600227355957
bio8_temp_media_trimestre_umido,22.58037567138672,27.25754165649414,25.691901080839095,0.6033327708745119,4.677165985107422
bio12_precipitacao_anual,1234,3788,2232.8693548387096,381.721341127771,2554
bio13_precipitacao_mes_umido,206,510,328.9491935483871,38.70095817932705,304
bio14_precipitacao_mes_seco,0,244,57.78225806451613,51.3983572663869,244
bio18_precipitacao_trimestre_quente,64,870,394.83790322580643,180.30080779129196,806
bio19_precipitacao_trimestre_frio,16,1441,620.9798387096774,343.5250824037315,1425
elevacao,3,903,163.71370967741936,113.16411677743675,900
declividade,5.477842059917748e-4,0.7435215711593628,0.06452359235075662,0.07508995571421281,0.742973786953371
orientacao,1.272221887435804e-14,360,170.42713893719258,113.42166546209488,360
