variavel,media_calibracao,sd_calibracao
bio3_isotermalidade,78.40414581914102,6.2826976311429
bio4_sazonalidade_temperatura,50.16198817837623,17.863748822845714
bio5_temp_max_mes_quente,32.51784556911838,1.0520246738215087
bio8_temp_media_trimestre_umido,25.691901080839095,0.6033327708745119
bio12_precipitacao_anual,2232.8693548387096,381.721341127771
bio13_precipitacao_mes_umido,328.9491935483871,38.70095817932705
bio14_precipitacao_mes_seco,57.78225806451613,51.3983572663869
bio18_precipitacao_trimestre_quente,394.83790322580643,180.30080779129196
bio19_precipitacao_trimestre_frio,620.9798387096774,343.5250824037315
elevacao,163.71370967741936,113.16411677743675
declividade,0.06452359235075662,0.07508995571421281
orientacao,170.42713893719258,113.42166546209488
