limiar,sensibilidade,especificidade,acuracia,TSS,TP,TN,FP,FN
0.01,1,0.3562874251497006,0.4220430107526882,0.3562874251497006,38,119,215,0
0.02,0.9210526315789473,0.4311377245508982,0.48118279569892475,0.3521903561298456,35,144,190,3
0.03,0.9210526315789473,0.5,0.543010752688172,0.42105263157894735,35,167,167,3
0.04,0.8947368421052632,0.5479041916167665,0.5833333333333334,0.4426410337220297,34,183,151,4
0.05,0.8947368421052632,0.5868263473053892,0.6182795698924731,0.48156318941065246,34,196,138,4
0.060000000000000005,0.8421052631578947,0.6137724550898204,0.6370967741935484,0.45587771824771517,32,205,129,6
0.06999999999999999,0.8157894736842105,0.6497005988023952,0.6666666666666666,0.46549007248660557,31,217,117,7
0.08,0.8157894736842105,0.6796407185628742,0.6935483870967742,0.49543019224708473,31,227,107,7
0.09,0.8157894736842105,0.7065868263473054,0.717741935483871,0.522376300031516,31,236,98,7
0.09999999999999999,0.8157894736842105,0.7215568862275449,0.7311827956989247,0.5373463599117554,31,241,93,7
0.11,0.7894736842105263,0.7574850299401198,0.760752688172043,0.5469587141506462,30,253,81,8
0.12,0.7631578947368421,0.7784431137724551,0.7768817204301075,0.5416010085092973,29,260,74,9
0.13,0.7631578947368421,0.7904191616766467,0.7876344086021505,0.5535770564134888,29,264,70,9
0.14,0.7105263157894737,0.8143712574850299,0.803763440860215,0.5248975732745036,27,272,62,11
0.15000000000000002,0.7105263157894737,0.8353293413173652,0.8225806451612904,0.5458556571068389,27,279,55,11
0.16,0.6842105263157895,0.8383233532934131,0.8225806451612904,0.5225338796092025,26,280,54,12
0.17,0.631578947368421,0.8502994011976048,0.8279569892473119,0.48187834856602585,24,284,50,14
0.18000000000000002,0.631578947368421,0.8592814371257484,0.8360215053763441,0.49086038449416947,24,287,47,14
0.19,0.631578947368421,0.8592814371257484,0.8360215053763441,0.49086038449416947,24,287,47,14
0.2,0.5789473684210527,0.8652694610778443,0.8360215053763441,0.44421682949889707,22,289,45,16
0.21000000000000002,0.5263157894736842,0.8712574850299402,0.8360215053763441,0.39757327450362423,20,291,43,18
0.22,0.5,0.874251497005988,0.8360215053763441,0.37425149700598803,19,292,42,19
0.23,0.47368421052631576,0.8892215568862275,0.8467741935483871,0.3629057674125433,18,297,37,20
0.24000000000000002,0.47368421052631576,0.8922155688622755,0.8494623655913979,0.3658997793885912,18,298,36,20
0.25,0.47368421052631576,0.8982035928143712,0.8548387096774194,0.37188780334068694,18,300,34,20
0.26,0.47368421052631576,0.9011976047904192,0.8575268817204301,0.37488181531673503,18,301,33,20
0.27,0.47368421052631576,0.9101796407185628,0.8655913978494624,0.38386385124487865,18,304,30,20
0.28,0.47368421052631576,0.9281437125748503,0.8817204301075269,0.4018279231011661,18,310,24,20
0.29000000000000004,0.42105263157894735,0.9341317365269461,0.8817204301075269,0.3551843681058935,16,312,22,22
0.3,0.39473684210526316,0.9341317365269461,0.8790322580645161,0.3288685786322092,15,312,22,23
0.31,0.39473684210526316,0.9491017964071856,0.8924731182795699,0.3438386385124488,15,317,17,23
0.32,0.39473684210526316,0.9550898203592815,0.8978494623655914,0.34982666246454475,15,319,15,23
0.33,0.39473684210526316,0.9580838323353293,0.9005376344086021,0.3528206744405926,15,320,14,23
0.34,0.3684210526315789,0.9610778443113772,0.9005376344086021,0.3294988969429562,14,321,13,24
0.35000000000000003,0.3684210526315789,0.9610778443113772,0.9005376344086021,0.3294988969429562,14,321,13,24
0.36000000000000004,0.2894736842105263,0.9610778443113772,0.8924731182795699,0.25055152852190354,11,321,13,27
0.37,0.2894736842105263,0.9610778443113772,0.8924731182795699,0.25055152852190354,11,321,13,27
0.38,0.2894736842105263,0.9610778443113772,0.8924731182795699,0.25055152852190354,11,321,13,27
0.39,0.2631578947368421,0.9640718562874252,0.8924731182795699,0.22722975102426735,10,322,12,28
0.4,0.23684210526315788,0.9700598802395209,0.8951612903225806,0.2069019855026788,9,324,10,29
0.41000000000000003,0.23684210526315788,0.9760479041916168,0.9005376344086021,0.21289000945477476,9,326,8,29
0.42000000000000004,0.23684210526315788,0.9820359281437125,0.9059139784946236,0.2188780334068705,9,328,6,29
0.43,0.21052631578947367,0.9820359281437125,0.9032258064516129,0.19256224393318622,8,328,6,30
0.44,0.21052631578947367,0.9850299401197605,0.9059139784946236,0.1955562559092341,8,329,5,30
0.45,0.21052631578947367,0.9850299401197605,0.9059139784946236,0.1955562559092341,8,329,5,30
0.46,0.21052631578947367,0.9910179640718563,0.9112903225806451,0.20154427986132983,8,331,3,30
0.47000000000000003,0.18421052631578946,0.9970059880239521,0.9139784946236559,0.1812165143397415,7,333,1,31
0.48000000000000004,0.15789473684210525,0.9970059880239521,0.9112903225806451,0.15490072486605744,6,333,1,32
0.49,0.13157894736842105,0.9970059880239521,0.9086021505376344,0.12858493539237315,5,333,1,33
0.5,0.13157894736842105,0.9970059880239521,0.9086021505376344,0.12858493539237315,5,333,1,33
0.51,0.10526315789473684,0.9970059880239521,0.9059139784946236,0.10226914591868885,4,333,1,34
0.52,0.10526315789473684,0.9970059880239521,0.9059139784946236,0.10226914591868885,4,333,1,34
0.53,0.10526315789473684,0.9970059880239521,0.9059139784946236,0.10226914591868885,4,333,1,34
0.54,0.10526315789473684,0.9970059880239521,0.9059139784946236,0.10226914591868885,4,333,1,34
0.55,0.10526315789473684,0.9970059880239521,0.9059139784946236,0.10226914591868885,4,333,1,34
0.56,0.07894736842105263,0.9970059880239521,0.9032258064516129,0.07595335644500478,3,333,1,35
0.5700000000000001,0.07894736842105263,0.9970059880239521,0.9032258064516129,0.07595335644500478,3,333,1,35
0.5800000000000001,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,2,333,1,36
0.59,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,2,333,1,36
0.6,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,2,333,1,36
0.61,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,2,333,1,36
0.62,0.05263157894736842,0.9970059880239521,0.9005376344086021,0.04963756697132049,2,333,1,36
0.63,0.05263157894736842,1,0.9032258064516129,0.05263157894736836,2,334,0,36
0.64,0.05263157894736842,1,0.9032258064516129,0.05263157894736836,2,334,0,36
0.65,0.05263157894736842,1,0.9032258064516129,0.05263157894736836,2,334,0,36
0.66,0.02631578947368421,1,0.9005376344086021,0.026315789473684292,1,334,0,37
0.67,0,1,0.8978494623655914,0,0,334,0,38
0.68,0,1,0.8978494623655914,0,0,334,0,38
0.6900000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.7000000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.7100000000000001,0,1,0.8978494623655914,0,0,334,0,38
0.72,0,1,0.8978494623655914,0,0,334,0,38
0.73,0,1,0.8978494623655914,0,0,334,0,38
0.74,0,1,0.8978494623655914,0,0,334,0,38
0.75,0,1,0.8978494623655914,0,0,334,0,38
0.76,0,1,0.8978494623655914,0,0,334,0,38
