limiar,sensibilidade,especificidade,acuracia,TSS,Kappa,TP,TN,FP,FN
0.01,1,0.020958083832335328,0.12096774193548387,0.020958083832335328,0.004354374017810376,38,7,327,0
0.02,1,0.04790419161676647,0.14516129032258066,0.0479041916167664,0.010174710489323262,38,16,318,0
0.03,1,0.08383233532934131,0.1774193548387097,0.08383233532934131,0.01835115557088653,38,28,306,0
0.04,1,0.08982035928143713,0.1827956989247312,0.08982035928143706,0.01976284584980236,38,30,304,0
0.05,1,0.10479041916167664,0.19623655913978494,0.10479041916167664,0.02335627985389155,38,35,299,0
0.060000000000000005,1,0.12574850299401197,0.21505376344086022,0.12574850299401197,0.028546898476067818,38,42,292,0
0.06999999999999999,1,0.17365269461077845,0.25806451612903225,0.17365269461077837,0.04116548375046695,38,58,276,0
0.08,1,0.19760479041916168,0.27956989247311825,0.1976047904191618,0.047902819161127624,38,66,268,0
0.09,1,0.20958083832335328,0.2903225806451613,0.20958083832335328,0.05138706436905959,38,70,264,0
0.09999999999999999,1,0.25149700598802394,0.3279569892473118,0.25149700598802394,0.06423569186186909,38,84,250,0
0.11,1,0.27844311377245506,0.3521505376344086,0.278443113772455,0.07307692307692308,38,93,241,0
0.12,0.9736842105263158,0.31137724550898205,0.3790322580645161,0.28506145603529776,0.07766615146831529,37,104,230,1
0.13,0.9736842105263158,0.32335329341317365,0.3897849462365591,0.29703750393948947,0.08197077752652634,37,108,226,1
0.14,0.9736842105263158,0.3323353293413174,0.3978494623655914,0.3060195398676333,0.0852726793712128,37,111,223,1
0.15000000000000002,0.9736842105263158,0.3502994011976048,0.41397849462365593,0.32398361172392054,0.09207344379758176,37,117,217,1
0.16,0.9736842105263158,0.3562874251497006,0.41935483870967744,0.3299716356760163,0.09440086556667572,37,119,215,1
0.17,0.9736842105263158,0.38023952095808383,0.44086021505376344,0.3539237314843997,0.10402964335340432,37,127,207,1
0.18000000000000002,0.9736842105263158,0.39820359281437123,0.45698924731182794,0.37188780334068694,0.11160503168447936,37,133,201,1
0.19,0.9736842105263158,0.4221556886227545,0.478494623655914,0.39583989914907036,0.12221465408193057,37,141,193,1
0.2,0.9736842105263158,0.4341317365269461,0.489247311827957,0.40781594705326185,0.12775199921018862,37,145,189,1
0.21000000000000002,0.9736842105263158,0.4431137724550898,0.49731182795698925,0.4167979829814057,0.1320123777201038,37,148,186,1
0.22,0.9473684210526315,0.47005988023952094,0.5188172043010753,0.41742830129215247,0.13728233830845762,36,157,177,2
0.23,0.9473684210526315,0.47604790419161674,0.5241935483870968,0.4234163252442482,0.14032797158972213,36,159,175,2
0.24000000000000002,0.9210526315789473,0.48502994011976047,0.5295698924731183,0.40608257169870776,0.13669637173774662,35,162,172,3
0.25,0.9210526315789473,0.49700598802395207,0.5403225806451613,0.4180586196028995,0.1429726234102176,35,166,168,3
0.26,0.9210526315789473,0.5119760479041916,0.553763440860215,0.43302867948313883,0.15110524579346743,35,171,163,3
0.27,0.8947368421052632,0.5179640718562875,0.5564516129032258,0.4127009139615505,0.1457915831663326,34,173,161,4
0.28,0.8947368421052632,0.5209580838323353,0.5591397849462365,0.4156949259375984,0.14745667970933476,34,174,160,4
0.29000000000000004,0.8947368421052632,0.5449101796407185,0.5806451612903226,0.4396470217459818,0.16129032258064524,34,182,152,4
0.3,0.8947368421052632,0.5538922155688623,0.5887096774193549,0.4486290576741254,0.16672522839072382,34,185,149,4
0.31,0.8947368421052632,0.5688622754491018,0.6021505376344086,0.463599117554365,0.17610439363103086,34,190,144,4
0.32,0.868421052631579,0.5868263473053892,0.6155913978494624,0.45524739993696817,0.17846553002223875,33,196,138,5
0.33,0.868421052631579,0.592814371257485,0.6209677419354839,0.46123542388906413,0.1824812967581048,33,198,136,5
0.34,0.868421052631579,0.6107784431137725,0.6370967741935484,0.47919949574535137,0.1949858938189278,33,204,130,5
0.35000000000000003,0.8421052631578947,0.6167664670658682,0.6397849462365591,0.45887173022376304,0.1894106933784311,32,206,128,6
0.36000000000000004,0.8421052631578947,0.6407185628742516,0.6612903225806451,0.48282382603214624,0.20727912325801653,32,214,120,6
0.37,0.8421052631578947,0.6407185628742516,0.6612903225806451,0.48282382603214624,0.20727912325801653,32,214,120,6
0.38,0.8421052631578947,0.6467065868263473,0.6666666666666666,0.488811849984242,0.21197211972119703,32,216,118,6
0.39,0.8421052631578947,0.6586826347305389,0.6774193548387096,0.5007878978884337,0.2216487655182032,32,220,114,6
0.4,0.8421052631578947,0.6646706586826348,0.6827956989247311,0.5067759218405294,0.22663847780126833,32,222,112,6
0.41000000000000003,0.8157894736842105,0.6796407185628742,0.6935483870967742,0.49543019224708473,0.22872108249672646,31,227,107,7
0.42000000000000004,0.8157894736842105,0.6796407185628742,0.6935483870967742,0.49543019224708473,0.22872108249672646,31,227,107,7
