lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao
-59.968854,-2.933488,80.94942474365234,49.023834228515625,31.92599868774414,26.09166717529297,2319,304,71,391,857,78,0.08839131891727448,191.3485565185547
-51.910556,1.106389,78.3746566772461,69.02900695800781,32.0212516784668,25.386375427246094,2392,336,59,197,864,175,0.026064278557896614,349.7608947753906
-63.021667,-9.216389,71.39488220214844,48.35960006713867,32.83625030517578,25.430208206176758,2328,383,10,513,168,116,0.03334523364901543,322.42071533203125
-51.834167,-1.799167,83.217926025390625,51.51371765136719,32.249000549316406,25.851499557495117,2287,350,50,191,834,40,0.04690376669168472,325.9507141113281
-52.531389,-0.159444,80.857635498046875,61.97165298461914,32.02349853515625,25.51995849609375,2380,327,51,195,843,146,0.07775884866714478,207.17572021484375
-52.37,1.191389,79.50750732421875,65.26290130615234,32.16725158691406,25.487415313720703,2393,321,63,208,827,156,0.023932766169309616,124.63424682617188
-52.833056,-0.456389,81.09661102294922,60.82156753540039,31.657249450683594,25.262083053588867,2337,332,50,185,816,189,0.22680871188640594,41.069637298583984
-62.916111,-9.262778,71.54638671875,47.678924560546875,32.56224822998047,25.317459106445313,2391,385,12,533,168,121,0.03662677854299545,321.7362365722656
-61.649722,-9.591111,70.72169494628906,43.337486267089844,32.95075225830078,25.034332275390625,2157,338,17,260,129,152,0.01710447110235691,316.6404724121094
-61.646944,-9.359167,70.78880310058594,42.09244918823242,32.93300247192383,25.037416458129883,2187,334,16,277,135,158,0.017673861235380173,318.38409423828125
-64.348888,-9.244167,73.4112548828125,50.661773681640625,33.3385009765625,26.11858367919922,1996,293,25,472,173,95,0.03638410195708275,335.2164611816406
-60.09,-2.3828,81.82691955566406,45.445594787597656,31.765499114990234,26.09608268737793,2404,319,98,427,790,99,0.053637146949768066,248.31417846679688
-56.464167,-4.672222,77.35296630859375,54.63097381591797,32.77975082397461,26.207624435424805,2134,309,65,388,839,73,0.020310867577791214,316.64251708984375
-64.736111,-9.444722,74.23649597167969,52.480735778808594,33.2234992980957,26.16904067993164,1857,263,24,446,171,113,0.021705150604248047,59.911869049072266
-64.617222,-9.263055,73.86454010009766,50.56161117553711,33.247501373291016,26.131290435791016,1948,281,25,465,172,102,0.03808905929327011,64.62584686279297
-48.798889,-2.180556,86.45116424560547,39.39651870727539,31.7237491607666,25.92275047302246,2437,423,64,216,1156,29,0.027675768360495567,296.7016906738281
-56.893889,-2.158056,77.27635955810547,66.43138122558594,32.89125061035156,26.25149917602539,2417,399,50,254,1012,69,0.04539602994918823,84.59654998779297
-60.658681,-3.154839,83.69599914550781,41.37446975708008,31.86349868774414,26.349416732788086,2236,304,51,363,876,42,0.03204062953591347,98.36908721923828
-62.05,-1.01,87.56275177001953,31.432470321655273,31.506250381469727,26.12787437438965,2594,341,150,474,832,32,0.037884801626205444,195.36521911621094
-48.330556,-3.34,86.885955810546875,40.19551467895508,31.6877498626709,25.675582885742188,2045,386,42,205,1016,112,0.10940095037221909,356.55499267578125
-48.483611,-3.285833,87.18194580078125,40.714012145996094,31.860750198364258,25.855499267578125,2125,397,46,209,1051,74,0.046505045145750046,350.428466796875
-59.407778,-10.223611,68.28376770019531,49.40061950683594,33.872249603271484,24.959625244140625,1949,332,8,230,91,272,0.19311568140983582,356.5066223144531
-60.063819,-3.553975,81.84859466552734,45.436492919921875,32.118499755859375,26.447250366210938,2184,285,60,369,834,28,0.02365141734480858,345.8006591796875
-59.74583,-2.41625,80.78584289550781,48.940696716308594,31.828248977661133,26.087833404541016,2376,315,98,408,802,105,0.032258376479148865,96.22453308105469
-63.216667,-9.1,71.271820068359375,48.023101806640625,33.02425003051758,25.540708541870117,2297,370,13,504,176,101,0.020734239369630814,325.5577697753906
-51.616667,0.166667,78.87757873535156,68.5295181274414,32.748748779296875,25.798166275024414,2338,345,37,150,901,44,0.0906987264752388,129.99468994140625
-51.62,-0.17,80.06658935546875,64.2341537475586,32.951751708984375,25.953582763671875,2383,329,46,194,900,12,0.04056879132986069,125.08304595947266
-58.966667,-4.116667,79.57337951660156,50.833099365234375,32.54999923706055,26.591251373291016,2234,292,85,362,837,34,0.02000410668551922,352.2170104980469
-63.11666,-9.16666,71.58234405517578,48.476871490478516,32.586997985839844,25.401500701904297,2351,380,13,510,177,113,0.024424979463219643,308.3545837402344
-54.355206,-11.524631,68.98633575439453,64.53893280029297,34.56850051879883,25.13774871826172,1890,331,1,481,47,352,0.037831470370292664,88.8227767944336
-65.18,-4.88,83.782257080078125,28.218034744262695,32.050750732421875,26.379249572753906,2442,316,89,500,408,90,0.009883420541882515,64.37184143066406
-56.126789,-9.839442,66.76979064941406,66.635986328125,36.36125183105469,25.923166275024414,2235,339,8,339,991,288,0.04045749828219414,8.353368759155273
-53.837778,-3.389167,79.39440155029297,52.688655853271484,31.072500228881836,24.802583694458008,1674,299,39,172,751,197,0.09057829529047012,337.93255615234375
-62.944722,-9.116111,71.64078521728516,47.546852111816406,32.5099983215332,25.34633445739746,2410,390,14,533,176,113,0.02670031599700451,329.17620849609375
-52.380833,-1.3825,82.68817901611328,56.890464782714844,32.548500061035156,26.10562515258789,2087,320,44,168,707,18,0.10370834916830063,141.55270385742188
-53.244722,-0.764722,80.872100830078125,62.30110549926758,30.87299919128418,24.51704216003418,2163,319,53,169,770,346,0.10309194773435593,218.7097625732422
-48.583333,-3.794722,85.63500213623047,42.444908142089844,32.05699920654297,25.776582717895508,2044,383,36,211,1021,113,0.028883837163448334,288.026611328125
-63.251111,-8.915278,72.39253234863281,45.38854217529297,32.66225051879883,25.48370933532715,2287,363,15,500,178,95,0.021994037553668022,297.348876953125
-51.954722,-3.227222,79.98931121826172,56.432159423828125,32.276248931884766,25.126249313354492,2133,371,36,154,972,147,0.09099938720464706,45.19853973388672
-64.205556,-9.143889,73.23704528808594,48.799835205078125,33.14925003051758,25.975582122802734,2064,311,24,481,172,94,0.03157304599881172,320.8458557128906
-64.591356,-9.411556,73.602935791015625,52.54551696777344,33.40925216674805,26.13545799255371,1920,275,25,461,175,121,0.04312306270003319,21.838863372802734
-64.654939,-9.620525,73.82600402832031,53.68148422241211,33.265499114990234,26.085248947143555,1884,273,24,449,171,135,0.05064395070075989,12.953125953674316
