lon,lat,pa,tipo,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,bio4_sazonalidade_temperatura_z,bio5_temp_max_mes_quente_z,bio12_precipitacao_anual_z,bio14_precipitacao_mes_seco_z,bio18_precipitacao_trimestre_quente_z,elevacao_z,declividade_z,treino
-59.968854,-2.933488,1,Presenca,49.023834228515625,31.92599868774414,2319,71,391,78,0.08839131891727448,-0.08140242114899247,-0.7284981909670551,0.44955512452067636,0.6055162715873902,0.20116477408910358,-0.7268723557487221,0.3964883625396568,FALSE
-46.799722,-3.6225,1,Presenca,42.42207336425781,31.697999954223633,1722,33,257,148,0.12278024852275848,-0.51160565844103,-0.9565898998542969,-1.4328939222622912,-0.3604744983301224,-0.6431093217078055,-0.10907637556134925,0.88839558888735,FALSE
-52.531389,-0.159444,1,Presenca,61.97165298461914,32.02349853515625,2380,51,195,146,0.07775884866714478,0.762341188969262,-0.6309585841934368,0.641899164476725,0.0971000768939625,-1.0337436048377187,-0.12672768928098846,0.24439904164577222,FALSE
-62,-9.116111,1,Presenca,42.28963088989258,33.14799880981445,2307,19,563,128,0.06633361428976059,-0.5202362620630678,0.49400024926381914,0.41171695272604386,-0.7163658346155217,1.2848598821269273,-0.28558951275774147,0.08096983877651161,FALSE
-56.464167,-4.672222,1,Presenca,54.63097381591797,32.77975082397461,2134,65,388,73,0.02031086757779121,0.2839863973870777,0.12560209596030658,-0.13378335731324156,0.45299141317936187,0.18226311522797875,-0.7710006400478202,-0.5773502061828709,FALSE
-56.893889,-2.158056,1,Presenca,66.43138122558594,32.89125061035156,2417,50,254,69,0.04539602994918823,1.0529590356552814,0.23714735071933832,0.7585668608435086,0.07167926715929111,-0.6620109805689304,-0.8063032674870987,-0.21852622456561127,FALSE
-60.063819,-3.553975,1,Presenca,45.436492919921875,32.118499755859375,2184,60,369,28,0.02365141734480858,-0.3151712407049831,-0.5359186230411932,0.02387569183106057,0.3258873645060049,0.06255260910752149,-1.1681551987397027,-0.5295662074012427,FALSE
-54.355206,-11.524631,1,Presenca,64.53893280029297,34.56850051879883,1890,1,481,352,0.03783147037029266,0.9296377800525489,1.915081223164712,-0.903159517137436,-1.1739404098396067,0.7682145399228485,1.6913576238418517,-0.3267314395486039,FALSE
-60.535278,-3.603056,1,Presenca,39.335968017578125,32.06449890136719,2246,57,377,28,0.01499530486762523,-0.7127114752169494,-0.5899414984857466,0.21937291276999524,0.24962493530199079,0.1129570327371877,-1.1681551987397027,-0.6533852482511183,FALSE
-56.126789,-9.839442,1,Presenca,66.635986328125,36.36125183105469,2235,8,339,288,0.04045749828219414,1.0662921113738109,3.7085635996161743,0.18468792195824876,-0.9959947416969069,-0.12646397950372681,1.1265155848133965,-0.2891681271316602,FALSE
