lon,lat,pa,tipo,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,bio4_sazonalidade_temperatura_z,bio5_temp_max_mes_quente_z,bio12_precipitacao_anual_z,bio14_precipitacao_mes_seco_z,bio18_precipitacao_trimestre_quente_z,elevacao_z,declividade_z,treino
-59.162667,-8.999722,1,Presenca,36.82342147827149,33.88275146484375,1992,8,264,183,0.1103033795952797,-0.8764413765692817,1.2290525283151674,-0.5815350568830596,-0.9959947416969069,-0.5990054510318475,0.19982161453233718,0.709923561463703,TRUE
-59.968854,-2.933488,1,Presenca,49.023834228515625,31.92599868774414,2319,71,391,78,0.08839131891727448,-0.08140242114899247,-0.7284981909670551,0.44955512452067636,0.6055162715873902,0.20116477408910358,-0.7268723557487221,0.3964883625396568,FALSE
-51.910556,1.106389,1,Presenca,69.02900695800781,32.0212516784668,2392,59,197,175,0.02606427855789661,1.222233116061801,-0.6332063571262456,0.6797373362713575,0.30046655477133355,-1.0211424989303022,0.12921635965378028,-0.49505208089284486,TRUE
-46.799722,-3.6225,1,Presenca,42.42207336425781,31.697999954223633,1722,33,257,148,0.12278024852275848,-0.51160565844103,-0.9565898998542969,-1.4328939222622912,-0.3604744983301224,-0.6431093217078055,-0.10907637556134925,0.88839558888735,FALSE
-63.021667,-9.216389,1,Presenca,48.35960006713867,32.83625030517578,2328,10,513,116,0.03334523364901543,-0.12468718901924648,0.1821246170262349,0.4779337533666507,-0.9451531222275642,0.9698322344415133,-0.39149739507557685,-0.39090361029132836,TRUE
-51.834167,-1.799167,1,Presenca,51.51371765136719,32.249000549316406,2287,50,191,40,0.04690376669168472,0.08085063996835283,-0.40536461280114133,0.34865333306832297,0.07167926715929111,-1.0589458166525518,-1.0622473164218673,-0.19695920844814302,TRUE
-52.514444,-0.295278,1,Presenca,61.0997200012207,32.04975128173828,2360,50,191,127,0.12047282606363297,0.7055217433891345,-0.6046951320311439,0.5788355448190041,0.07167926715929111,-1.0589458166525518,-0.2944151696175611,0.8553896827744769,TRUE
-52.531389,-0.159444,1,Presenca,61.97165298461914,32.02349853515625,2380,51,195,146,0.07775884866714478,0.762341188969262,-0.6309585841934368,0.641899164476725,0.0971000768939625,-1.0337436048377187,-0.12672768928098846,0.24439904164577222,FALSE
-52.37,1.191389,1,Presenca,65.26290130615234,32.16725158691406,2393,63,208,156,0.02393276616930961,0.9768151318715771,-0.4871469115279555,0.6828905172542435,0.4021497937100191,-0.9518364164395111,-0.03847112068279234,-0.5255417285505135,TRUE
-52.833056,-0.456389,1,Presenca,60.82156753540039,31.657249450683594,2337,50,185,189,0.22680871188640592,0.6873959594176919,-0.9973570209998495,0.5063123822126251,0.07167926715929111,-1.0967491343748015,0.25277555569125487,2.376442860537933,TRUE
-62.916111,-9.262778,1,Presenca,47.678924560546875,32.56224822998047,2391,12,533,121,0.03662677854299545,-0.16904335588172328,-0.09198919319073219,0.6765841552884715,-0.8943115027582215,1.0958432935156788,-0.3473691107764788,-0.34396363090110826,TRUE
-62,-9.116111,1,Presenca,42.28963088989258,33.14799880981445,2307,19,563,128,0.06633361428976059,-0.5202362620630678,0.49400024926381914,0.41171695272604386,-0.7163658346155217,1.2848598821269273,-0.28558951275774147,0.08096983877651161,FALSE
-63.94,-8.854167,1,Presenca,47.810035705566406,33.25600051879883,2185,25,500,99,0.02921220473945141,-0.16049950823376563,0.6020460001529261,0.02702887281394661,-0.5638409762074934,0.8879250460433057,-0.5415335616925102,-0.45002341456096323,TRUE
-52.380833,-1.599167,1,Presenca,56.00164794921875,32.52799987792969,2032,42,158,4,0.02725332044064998,0.3733062715150458,-0.12625151134142454,-0.45540781756761795,-0.13168721071807996,-1.266864064124925,-1.3799709633753734,-0.4780437499774455,TRUE
-52.946266,1.963061,1,Presenca,59.14328384399414,31.990249633789063,2360,58,209,217,0.18706610798835752,0.5780307321725865,-0.6642210440955791,0.5788355448190041,0.2750457450366622,-0.9455358634858028,0.499893947766204,1.8079554352065432,TRUE
-61.649722,-9.591111,1,Presenca,43.33748626708984,32.95075225830078,2157,17,260,152,0.01710447110235691,-0.4519528472661569,0.29667326278377354,-0.061260194706862586,-0.7672074540848645,-0.6242076628466807,-0.0737737481220708,-0.6232152451618795,TRUE
-61.646944,-9.359167,1,Presenca,42.09244918823242,32.93300247192383,2187,16,277,158,0.01767386123538017,-0.5330855924361529,0.2789162382398694,0.0333352347797187,-0.7926282638195359,-0.51709826263364,-0.02081980696315312,-0.6150705566165126,TRUE
-64.348888,-9.244167,1,Presenca,50.661773681640625,33.3385009765625,1996,25,472,95,0.03638410195708275,0.025333776921693432,0.6845801006925812,-0.5689223329515155,-0.5638409762074934,0.711509563339474,-0.5768361891317887,-0.3474349330801912,TRUE
-60.09,-2.3828,1,Presenca,45.445594787597656,31.76549911499023,2404,98,427,99,0.05363714694976806,-0.31457811820023984,-0.8890632136750372,0.71757550806599,1.2918781344235175,0.4279846804226015,-0.5415335616925102,-0.10064337528042815,TRUE
-56.464167,-4.672222,1,Presenca,54.63097381591797,32.77975082397461,2134,65,388,73,0.02031086757779121,0.2839863973870777,0.12560209596030658,-0.13378335731324156,0.45299141317936187,0.18226311522797875,-0.7710006400478202,-0.5773502061828709,FALSE
-51.972222,0.973889,1,Presenca,68.9582290649414,32.010250091552734,2379,59,194,184,0.04986373707652092,1.2176208801217308,-0.6442124303660091,0.6387459834938389,0.30046655477133355,-1.040044157791427,0.2086472713921568,-0.15461910543301766,TRUE
-64.048056,-9.081667,1,Presenca,48.65624237060547,33.17274856567383,2112,24,488,112,0.043589036911726,-0.10535651620434591,0.51876009780043,-0.2031533389367345,-0.5892617859421648,0.8123184105988064,-0.42680002251485527,-0.24437387214536882,TRUE
