variavel,variavel_z,variavel_legenda,valor,valor_z,adequabilidade
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,66.64388595581055,-1.8525665409985117,0.5817229528128853
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,66.80112962044325,-1.8275987799296798,0.5700443600229036
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,66.95837328507596,-1.8026310188608456,0.5584670640356987
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,67.11561694970867,-1.7776632577920137,0.5470065124282345
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,67.27286061434138,-1.7526954967231796,0.5356772488077826
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,67.43010427897408,-1.7277277356543477,0.5244928711073992
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,67.58734794360679,-1.7027599745855158,0.5134660009793983
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,67.7445916082395,-1.6777922135166816,0.5026082638794918
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,67.9018352728722,-1.6528244524478497,0.49193027929191324
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,68.05907893750492,-1.6278566913790156,0.4814416604286654
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,68.21632260213762,-1.6028889303101836,0.4711510226443724
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,68.37356626677033,-1.5779211692413517,0.4610659997414414
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,68.53080993140304,-1.5529534081725176,0.45119326729731035
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,68.68805359603574,-1.5279856471036857,0.44153857212451847
bio3_isotermalidade,bio3_isotermalidade_z,Bio3 isotermalidade,68.84529726066845,-1.5030178860348538,0.4321067669730993
