modelo,AUC,limiar_TSS,TSS,Kappa,Acuracia,Sensibilidade,Especificidade,Precisao,F1,Brier,Boyce,TP,TN,FP,FN,n,presencas,background,classe_AUC,classe_TSS,classe_Kappa,AUC_n,TSS_n,Kappa_n,Acuracia_n,Sensibilidade_n,Especificidade_n,Precisao_n,F1_n,Brier_n,Boyce_n,score_integrado,posicao,desempenho_integrado
Ensemble_media,0.852269145918689,0.20626672259799392,0.6032146233848095,0.34542501353546273,0.7903225806451613,0.8157894736842105,0.7874251497005988,0.30392156862745096,0.4428571428571429,0.07276108094510005,NA,31,263,71,7,372,38,334,Muito boa,Boa,Fraca,0.9973958333333339,0.7590909090909109,0.5312695800883606,0.41666666666666596,0.5999999999999999,0.41379310344827674,0.4105131414267828,0.5725995316159253,0.9622293716378285,NA,0.6861497631818182,1,Alto
Ensemble_ponderado,0.8523479357075323,0.20276847741591048,0.5972265994327135,0.33748886910062315,0.7849462365591398,0.8157894736842105,0.781437125748503,0.2980769230769231,0.4366197183098592,0.07288471710220776,NA,31,261,73,7,372,38,334,Muito boa,Boa,Fraca,1,0.6727272727272724,0.4240802421669706,0.33333333333333276,0.5999999999999999,0.34482758620689685,0.3187397708674301,0.4606326483491113,0.9608496962834389,NA,0.6290867377272727,2,Alto
RF,0.8220926567916798,0.13272019621919107,0.5751654585565711,0.38012913976254953,0.8279569892473119,0.7368421052631579,0.8383233532934131,0.34146341463414637,0.46666666666666673,0.07053523191731847,NA,28,280,54,10,372,38,334,Muito boa,Boa,Fraca,0,0.35454545454545494,1,1,0,1,1,1,0.9870679715916184,NA,0.584809695,3,Moderado
BRT,0.8382445635045698,0.07156979505870666,0.6199180586196029,0.3246410298729163,0.7634408602150538,0.868421052631579,0.7514970059880239,0.28448275862068967,0.4285714285714286,0.06937636052707943,NA,33,251,83,5,372,38,334,Muito boa,Boa,Fraca,0.5338541666666661,1,0.2505512203799328,0,1,0,0.10528246515040351,0.3161592505854806,1,NA,0.5343942270909091,4,Moderado
GLM,0.8395052001260637,0.11752947505294892,0.5619287740308856,0.3134118474248548,0.7741935483870968,0.7894736842105263,0.7724550898203593,0.2830188679245283,0.4166666666666667,0.07402197046955941,NA,30,258,76,8,372,38,334,Muito boa,Boa,Fraca,0.5755208333333339,0.1636363636363638,0.09888454622992553,0.16666666666666638,0.4000000000000002,0.24137931034482768,0.08229626655961429,0.10245901639344321,0.9481589067980883,NA,0.32060755581818184,5,Baixo
MaxEnt,0.8396627797037504,0.5141724340495304,0.5505830444374409,0.3195536857508687,0.7849462365591398,0.7631578947368421,0.7874251497005988,0.29,0.4202898550724638,0.1589888601012332,NA,29,263,71,9,372,38,334,Muito boa,Boa,Fraca,0.5807291666666661,0,0.1818391332073933,0.33333333333333276,0.2000000000000005,0.41379310344827674,0.19191489361702072,0.16749821810406348,0,NA,0.2455474810909091,6,Baixo
GAM,0.8246927198235109,0.13250716314590122,0.5559407500787898,0.30609057782405,0.7688172043010753,0.7894736842105263,0.7664670658682635,0.2777777777777778,0.410958904109589,0.07591953017339223,NA,30,256,78,8,372,38,334,Muito boa,Boa,Fraca,0.08593750000000183,0.07727272727272842,0,0.08333333333333319,0.4000000000000002,0.17241379310344906,0,0,0.9269837391278394,NA,0.16588191154545456,7,Baixo
