modelo,posicao,score_integrado,desempenho_integrado,metrica,valor
GLM,5,0.32060755581818184,Baixo,Kappa_n,0.09888454622992553
GLM,5,0.32060755581818184,Baixo,Acuracia_n,0.16666666666666638
GLM,5,0.32060755581818184,Baixo,Sensibilidade_n,0.4000000000000002
GLM,5,0.32060755581818184,Baixo,Especificidade_n,0.24137931034482768
GLM,5,0.32060755581818184,Baixo,Precisao_n,0.08229626655961429
GLM,5,0.32060755581818184,Baixo,F1_n,0.10245901639344321
GLM,5,0.32060755581818184,Baixo,Brier_n,0.9481589067980883
GLM,5,0.32060755581818184,Baixo,Boyce_n,NA
MaxEnt,6,0.2455474810909091,Baixo,AUC,0.8396627797037504
MaxEnt,6,0.2455474810909091,Baixo,TSS,0.5505830444374409
MaxEnt,6,0.2455474810909091,Baixo,Kappa,0.3195536857508687
MaxEnt,6,0.2455474810909091,Baixo,Acuracia,0.7849462365591398
MaxEnt,6,0.2455474810909091,Baixo,Sensibilidade,0.7631578947368421
MaxEnt,6,0.2455474810909091,Baixo,Especificidade,0.7874251497005988
MaxEnt,6,0.2455474810909091,Baixo,Precisao,0.29
MaxEnt,6,0.2455474810909091,Baixo,F1,0.4202898550724638
MaxEnt,6,0.2455474810909091,Baixo,Brier,0.1589888601012332
MaxEnt,6,0.2455474810909091,Baixo,Boyce,NA
MaxEnt,6,0.2455474810909091,Baixo,AUC_n,0.5807291666666661
MaxEnt,6,0.2455474810909091,Baixo,TSS_n,0
MaxEnt,6,0.2455474810909091,Baixo,Kappa_n,0.1818391332073933
MaxEnt,6,0.2455474810909091,Baixo,Acuracia_n,0.33333333333333276
MaxEnt,6,0.2455474810909091,Baixo,Sensibilidade_n,0.2000000000000005
MaxEnt,6,0.2455474810909091,Baixo,Especificidade_n,0.41379310344827674
MaxEnt,6,0.2455474810909091,Baixo,Precisao_n,0.19191489361702072
MaxEnt,6,0.2455474810909091,Baixo,F1_n,0.16749821810406348
MaxEnt,6,0.2455474810909091,Baixo,Brier_n,0
MaxEnt,6,0.2455474810909091,Baixo,Boyce_n,NA
GAM,7,0.16588191154545456,Baixo,AUC,0.8246927198235109
GAM,7,0.16588191154545456,Baixo,TSS,0.5559407500787898
GAM,7,0.16588191154545456,Baixo,Kappa,0.30609057782405
GAM,7,0.16588191154545456,Baixo,Acuracia,0.7688172043010753
GAM,7,0.16588191154545456,Baixo,Sensibilidade,0.7894736842105263
GAM,7,0.16588191154545456,Baixo,Especificidade,0.7664670658682635
GAM,7,0.16588191154545456,Baixo,Precisao,0.2777777777777778
GAM,7,0.16588191154545456,Baixo,F1,0.410958904109589
GAM,7,0.16588191154545456,Baixo,Brier,0.07591953017339223
GAM,7,0.16588191154545456,Baixo,Boyce,NA
GAM,7,0.16588191154545456,Baixo,AUC_n,0.08593750000000183
GAM,7,0.16588191154545456,Baixo,TSS_n,0.07727272727272842
GAM,7,0.16588191154545456,Baixo,Kappa_n,0
GAM,7,0.16588191154545456,Baixo,Acuracia_n,0.08333333333333319
GAM,7,0.16588191154545456,Baixo,Sensibilidade_n,0.4000000000000002
GAM,7,0.16588191154545456,Baixo,Especificidade_n,0.17241379310344906
GAM,7,0.16588191154545456,Baixo,Precisao_n,0
GAM,7,0.16588191154545456,Baixo,F1_n,0
GAM,7,0.16588191154545456,Baixo,Brier_n,0.9269837391278394
GAM,7,0.16588191154545456,Baixo,Boyce_n,NA
