produto,n_pixels,minimo,primeiro_quartil,mediana,media,terceiro_quartil,maximo,desvio_padrao
BRT,12053,0.004634011071175337,0.017276139929890633,0.03195586055517197,0.06825562511445345,0.07103127241134644,0.8687463998794556,0.10090540105595706
GAM,12053,1.201809709527879e-6,0.012773768976330757,0.043285395950078964,0.08241113685241049,0.1153101772069931,0.6864319443702698,0.10031856595957728
GLM,12053,2.220446049250313e-16,0.006000004708766937,0.03269951045513153,0.07993753133582311,0.10817161202430725,0.7532640695571899,0.11279120550499253
RF,12053,0,0.018559522926807404,0.04526627063751221,0.07899835281151198,0.10108214616775513,0.7931277751922607,0.0982634587356081
consenso_media,12053,0.00276672166728531,0.01890689367428422,0.04260556027293205,0.07740066152854976,0.10038393433205783,0.7479708939790726,0.09403916063220048
incerteza_sd,12053,6.49571233247071e-4,0.009900437582896927,0.022391296249505813,0.03436978978212252,0.04570878020913896,0.29243128310625144,0.03569974940749769
