limiar,sensibilidade,especificidade,acuracia,TSS,Kappa,TP,TN,FP,FN
0.01,0.9736842105263158,0.03293413173652695,0.12903225806451613,0.006618342262842747,0.0013919268244183814,37,11,323,1
0.02,0.9210526315789473,0.31736526946107785,0.3790322580645161,0.23841790104002514,0.0657940511393286,35,106,228,3
0.03,0.8947368421052632,0.47604790419161674,0.5188172043010753,0.37078474629687985,0.12384210526315785,34,159,175,4
0.04,0.8947368421052632,0.5658682634730539,0.5994623655913979,0.4606051055783169,0.17419547079856973,34,189,145,4
0.05,0.868421052631579,0.6437125748502994,0.6666666666666666,0.5121336274818784,0.21986199431741307,33,215,119,5
0.060000000000000005,0.868421052631579,0.688622754491018,0.706989247311828,0.5570438071225969,0.25855763604447046,33,230,104,5
0.06999999999999999,0.868421052631579,0.7425149700598802,0.7553763440860215,0.6109360226914591,0.31418152350081047,33,248,86,5
0.08,0.8421052631578947,0.7694610778443114,0.7768817204301075,0.6115663410022061,0.3345689655172413,32,257,77,6
0.09,0.7894736842105263,0.8023952095808383,0.8010752688172043,0.5918688937913648,0.3530738860688098,30,268,66,8
0.09999999999999999,0.7105263157894737,0.8293413173652695,0.8172043010752689,0.5398676331547432,0.3513846153846157,27,277,57,11
0.11,0.6578947368421053,0.8473053892215568,0.8279569892473119,0.505200126063662,0.3500764359030357,25,283,51,13
0.12,0.631578947368421,0.8652694610778443,0.8413978494623656,0.4968484084462652,0.3649305555555556,24,289,45,14
0.13,0.6052631578947368,0.874251497005988,0.8467741935483871,0.47951465490072476,0.364693192713327,23,292,42,15
0.14,0.6052631578947368,0.8922155688622755,0.8629032258064516,0.49747872675701243,0.399620253164557,23,298,36,15
0.15000000000000002,0.6052631578947368,0.8952095808383234,0.8655913978494624,0.5004727387330603,0.4058267314081267,23,299,35,15
0.16,0.5789473684210527,0.9011976047904192,0.8682795698924731,0.480144973211472,0.4007101525512889,22,301,33,16
0.17,0.5263157894736842,0.9101796407185628,0.8709677419354839,0.436495430192247,0.3829140171412773,20,304,30,18
0.18000000000000002,0.5263157894736842,0.9191616766467066,0.8790322580645161,0.44547746612039063,0.4031660011409012,20,307,27,18
0.19,0.5263157894736842,0.9221556886227545,0.8817204301075269,0.4484714780964387,0.4102046699336985,20,308,26,18
0.2,0.5263157894736842,0.9281437125748503,0.8870967741935484,0.45445950204853447,0.42474226804123716,20,310,24,18
0.21000000000000002,0.5,0.9401197604790419,0.8951612903225806,0.4401197604790419,0.4350467289719625,19,314,20,19
0.22,0.5,0.9401197604790419,0.8951612903225806,0.4401197604790419,0.4350467289719625,19,314,20,19
0.23,0.47368421052631576,0.9431137724550899,0.8951612903225806,0.4167979829814057,0.4217155612244897,18,315,19,20
0.24000000000000002,0.47368421052631576,0.9491017964071856,0.9005376344086021,0.42278600693350143,0.4381123448726322,18,317,17,20
0.25,0.4473684210526316,0.9491017964071856,0.8978494623655914,0.39647021745981714,0.4158677685950411,17,317,17,21
0.26,0.42105263157894735,0.9491017964071856,0.8951612903225806,0.37015442798613307,0.3930722891566265,16,317,17,22
0.27,0.42105263157894735,0.9520958083832335,0.8978494623655914,0.37314843996218094,0.40121992544900015,16,318,16,22
0.28,0.39473684210526316,0.9550898203592815,0.8978494623655914,0.34982666246454475,0.38581856100104256,15,319,15,23
0.29000000000000004,0.39473684210526316,0.9550898203592815,0.8978494623655914,0.34982666246454475,0.38581856100104256,15,319,15,23
0.3,0.39473684210526316,0.9640718562874252,0.9059139784946236,0.35880869839268836,0.4116052060737527,15,322,12,23
0.31,0.39473684210526316,0.9670658682634731,0.9086021505376344,0.36180271036873624,0.42066691095639414,15,323,11,23
0.32,0.3684210526315789,0.9730538922155688,0.9112903225806451,0.3414749448471477,0.41386554621848703,14,325,9,24
0.33,0.3684210526315789,0.9760479041916168,0.9139784946236559,0.3444689568231958,0.42347927160015486,14,326,8,24
0.34,0.34210526315789475,0.9760479041916168,0.9112903225806451,0.3181531673495115,0.3968160377358487,13,326,8,25
0.35000000000000003,0.34210526315789475,0.9790419161676647,0.9139784946236559,0.32114717932555936,0.4064619066613481,13,327,7,25
0.36000000000000004,0.3157894736842105,0.9820359281437125,0.9139784946236559,0.29782540182792294,0.38840937114673235,12,328,6,26
0.37,0.3157894736842105,0.9820359281437125,0.9139784946236559,0.29782540182792294,0.38840937114673235,12,328,6,26
0.38,0.3157894736842105,0.9880239520958084,0.9193548387096774,0.3038134257800189,0.40864773208986854,12,330,4,26
0.39,0.23684210526315788,0.9880239520958084,0.9112903225806451,0.22486605735896625,0.3173932384341635,9,330,4,29
0.4,0.23684210526315788,0.9880239520958084,0.9112903225806451,0.22486605735896625,0.3173932384341635,9,330,4,29
