produto,n_pixels,minimo,primeiro_quartil,mediana,media,terceiro_quartil,maximo,desvio_padrao
Amplitude,12053,0.008130828849971294,0.12242454290390015,0.24574686586856842,0.2832453128775353,0.42279067635536194,0.9935716390609741,0.1896194756662955
BRT,12053,0.004634011071175337,0.017276139929890633,0.03195586055517197,0.06825562511445345,0.07103127241134644,0.8687463998794556,0.10090540105595706
Consenso_Binario,12053,0,0,0,0.20710196890203347,0.4000000059604645,1,0.3394261297484724
Ensemble_Media,12053,0.003660572227090597,0.04319903254508972,0.08610142767429352,0.12666186259223888,0.17622880637645721,0.7973425984382629,0.11788341800719575
Ensemble_Ponderado,12053,0.003668268444016576,0.04359207674860954,0.08692211657762527,0.12761732901487938,0.17783531546592712,0.7983419299125671,0.11850574057590024
GAM,12053,1.201809709527879e-6,0.012773768976330757,0.043285395950078964,0.08241113685241049,0.1153101772069931,0.6864319443702698,0.10031856595957728
GLM,12053,2.220446049250313e-16,0.006000004708766937,0.03269951045513153,0.07993753133582311,0.10817161202430725,0.7532640695571899,0.11279120550499253
Incerteza_SD,12053,0.0035069428849965334,0.051490820944309235,0.10299719125032425,0.11771743943901868,0.17678026854991913,0.420555979013443,0.07778837831645934
MaxEnt,12053,1.6245119240920758e-6,0.12768340110778809,0.2638936936855316,0.3237066667866233,0.48093634843826294,0.9982391595840454,0.24050457683137233
RF,12053,0,0.018559522926807404,0.04526627063751221,0.07899835281151198,0.10108214616775513,0.7931277751922607,0.0982634587356081
