limiar,sensibilidade,especificidade,acuracia,TSS,Kappa,TP,TN,FP,FN
0.01,0.9210526315789473,0.1347305389221557,0.21505376344086022,0.05578317050110293,0.012868047982551794,35,45,289,3
0.02,0.9210526315789473,0.2754491017964072,0.34139784946236557,0.19650173337535448,0.05188914780292939,35,92,242,3
0.03,0.8947368421052632,0.3712574850299401,0.42473118279569894,0.2659943271352032,0.07818434460398332,34,124,210,4
0.04,0.8947368421052632,0.4550898203592814,0.5,0.3498266624645445,0.11374116200430376,34,152,182,4
0.05,0.8947368421052632,0.5119760479041916,0.5510752688172043,0.40671289000945476,0.1425022084805653,34,171,163,4
0.060000000000000005,0.8947368421052632,0.5688622754491018,0.6021505376344086,0.463599117554365,0.17610439363103086,34,190,144,4
0.06999999999999999,0.868421052631579,0.6167664670658682,0.6424731182795699,0.4851875196974471,0.19931382703262546,33,206,128,5
0.08,0.8421052631578947,0.6526946107784432,0.6720430107526881,0.49479987393633795,0.21676101063095385,32,218,116,6
0.09,0.8157894736842105,0.6976047904191617,0.7096774193548387,0.5133942641033722,0.24492557510148869,31,233,101,7
0.09999999999999999,0.7631578947368421,0.7425149700598802,0.7446236559139785,0.5056728647967224,0.2664397210229159,29,248,86,9
0.11,0.7368421052631579,0.7844311377245509,0.7795698924731183,0.5212732429877087,0.3025425278946404,28,262,72,10
0.12,0.7368421052631579,0.8173652694610778,0.8091397849462365,0.5542073747242355,0.3475296442687745,28,273,61,10
0.13,0.7368421052631579,0.8323353293413174,0.8225806451612904,0.5691774346044753,0.37046153846153873,28,278,56,10
0.14,0.7368421052631579,0.8473053892215568,0.8360215053763441,0.5841474944847147,0.39520255863539466,28,283,51,10
0.15000000000000002,0.6842105263157895,0.8532934131736527,0.8360215053763441,0.5375039394894423,0.3754953764861297,26,285,49,12
0.16,0.6578947368421053,0.8682634730538922,0.8467741935483871,0.5261582098959976,0.38645833333333335,25,290,44,13
0.17,0.6578947368421053,0.8832335329341318,0.8602150537634409,0.541128269776237,0.4152357920193472,25,295,39,13
0.18000000000000002,0.6578947368421053,0.8922155688622755,0.8682795698924731,0.5501103057043808,0.43377236580516904,25,298,36,13
0.19,0.631578947368421,0.9011976047904192,0.8736559139784946,0.5327765521588401,0.43614551083591335,24,301,33,14
0.2,0.5789473684210527,0.9131736526946108,0.8790322580645161,0.49212102111566347,0.42733990147783263,22,305,29,16
0.21000000000000002,0.5789473684210527,0.9191616766467066,0.8844086021505376,0.4981090450677592,0.4414804469273741,22,307,27,16
0.22,0.5263157894736842,0.9311377245508982,0.8897849462365591,0.45745351402458234,0.43225134008338284,20,311,23,18
0.23,0.5263157894736842,0.937125748502994,0.8951612903225806,0.4634415379766783,0.447777101096224,20,313,21,18
0.24000000000000002,0.5,0.9461077844311377,0.9005376344086021,0.44610778443113785,0.45137117346938765,19,316,18,19
0.25,0.47368421052631576,0.9520958083832335,0.9032258064516129,0.4257800189095493,0.44661157024793363,18,318,16,20
0.26,0.47368421052631576,0.9520958083832335,0.9032258064516129,0.4257800189095493,0.44661157024793363,18,318,16,20
0.27,0.4473684210526316,0.9550898203592815,0.9032258064516129,0.4024582414119131,0.4327346662148422,17,319,15,21
0.28,0.42105263157894735,0.9580838323353293,0.9032258064516129,0.3791364639142767,0.41814389989572454,16,320,14,22
0.29000000000000004,0.42105263157894735,0.9580838323353293,0.9032258064516129,0.3791364639142767,0.41814389989572454,16,320,14,22
0.3,0.42105263157894735,0.9610778443113772,0.9059139784946236,0.38213047589032456,0.4269366197183099,16,321,13,22
0.31,0.39473684210526316,0.9640718562874252,0.9059139784946236,0.35880869839268836,0.4116052060737527,15,322,12,23
0.32,0.3684210526315789,0.9640718562874252,0.9032258064516129,0.33249290891900407,0.3865884939538291,14,322,12,24
0.33,0.3684210526315789,0.9670658682634731,0.9059139784946236,0.33548692089505194,0.3954309063893013,14,323,11,24
0.34,0.34210526315789475,0.9730538922155688,0.9086021505376344,0.3151591553734636,0.38744672607516456,13,325,9,25
