lon,lat,GLM,GAM,RF,BRT,MaxEnt,Ensemble_Media,Ensemble_Ponderado,Consenso_Binario,Incerteza_SD,Amplitude
-60.41666666666667,5.083333333333336,2.921732300542601e-11,0.07571406662464142,0.07553055882453918,0.023918265476822853,3.591293643694371e-4,0.035104405134916306,0.03432515636086464,0,0.03823643922805786,0.07571406662464142
-60.25,5.083333333333336,2.220446049250313e-16,0.4005015790462494,0.06863611191511154,0.02399449795484543,1.6245119240920758e-6,0.0986267626285553,0.09630086272954941,0.20000000298023224,0.17106430232524872,0.4005015790462494
-60.41666666666667,4.916666666666669,3.4739350285306614e-10,0.030200716108083725,0.05540476366877556,0.020700443536043167,0.0010305633768439293,0.02146729826927185,0.021033121272921562,0,0.022951673716306686,0.05540476366877556
-60.25,4.916666666666669,2.220446049250313e-16,0.050029609352350235,0.058524999767541885,0.02090459316968918,2.4422623027930968e-5,0.025896724313497543,0.02534186653792858,0,0.027440564706921577,0.058524999767541885
-60.583333333333336,4.750000000000003,1.00514152556741e-9,0.04162159562110901,0.07633928209543228,0.024637458845973015,0.0011579295387491584,0.028751254081726074,0.02813928760588169,0,0.03176167234778404,0.07633928209543228
-60.41666666666667,4.750000000000003,1.2766805390640457e-9,0.02742622047662735,0.058326587080955505,0.019420769065618515,0.0014248471707105637,0.021319685503840446,0.02087768353521824,0,0.023773619905114174,0.058326587080955505
-60.25,4.750000000000003,2.1717727616277216e-9,0.012173864059150219,0.08752618730068207,0.018079208210110664,0.004934391006827354,0.024542730301618576,0.023996863514184952,0,0.035876575857400894,0.08752618730068207
-60.75,4.583333333333336,3.082141963525742e-12,0.08529730141162872,0.09755753725767136,0.04248510301113129,7.642977288924158e-4,0.04522084817290306,0.04431440308690071,0,0.04575490579009056,0.09755753725767136
-60.583333333333336,4.583333333333336,3.5719704104264505e-12,0.045512888580560684,0.11133571714162827,0.04498540237545967,7.380294846370816e-4,0.04051440581679344,0.039721760898828506,0,0.045508816838264465,0.11133571714162827
-60.41666666666667,4.583333333333336,6.172074051846721e-8,0.020962433889508247,0.09210317581892014,0.0341670997440815,0.009827027097344398,0.03141196072101593,0.030865823850035667,0,0.036238182336091995,0.09210311621427536
-60.25,4.583333333333336,2.317075313840178e-6,0.014368301257491112,0.08891746401786804,0.023756830021739006,0.016124803572893143,0.02863394282758236,0.02813267894089222,0,0.03477659448981285,0.0889151468873024
-61.083333333333336,4.416666666666669,5.532391877949294e-9,0.01161385141313076,0.09379246085882187,0.03927256539463997,0.10591927170753479,0.05011963099241257,0.05001891031861305,0,0.04778401181101799,0.1059192642569542
-60.91666666666667,4.416666666666669,3.883808119553578e-7,0.0075857434421777725,0.08975634723901749,0.030308710411190987,0.291500061750412,0.08383025228977203,0.08450707793235779,0,0.1213127076625824,0.29149967432022095
-60.75,4.416666666666669,5.311812145691874e-8,0.005168883595615625,0.0918230190873146,0.022879745811223984,0.18755686283111572,0.061485711485147476,0.06171073392033577,0,0.07946190983057022,0.18755680322647095
-60.583333333333336,4.416666666666669,1.973030293811462e-6,0.004143512807786465,0.07601150870323181,0.020248722285032272,0.2814193367958069,0.07636500895023346,0.07707345485687256,0,0.11857876926660538,0.2814173698425293
-60.41666666666667,4.416666666666669,4.668469773605466e-5,0.007297733798623085,0.07869960367679596,0.019951919093728065,0.11324243992567062,0.04384767636656761,0.04383300989866257,0,0.04963799566030502,0.1131957545876503
-60.25,4.416666666666669,2.112455404130742e-4,0.008117549121379852,0.07367341220378876,0.021956125274300575,0.0527968592941761,0.031351037323474884,0.031124159693717957,0,0.031019560992717743,0.07346216589212418
-60.083333333333336,4.416666666666669,5.603636964224279e-6,0.005002136807888746,0.08266428858041763,0.024805229157209396,0.014262636192142963,0.025347979739308357,0.024928729981184006,0,0.03340856358408928,0.08265868574380875
-61.41666666666667,4.250000000000003,9.93946596281603e-5,0.019456783309578896,0.09868492186069489,0.038380369544029236,0.4507262110710144,0.12146953493356705,0.12271003425121307,0,0.18772999942302704,0.45062682032585144
-61.25,4.250000000000003,9.687680285423994e-4,0.03455770015716553,0.0748865082859993,0.031000223010778427,0.6652022004127502,0.16132308542728424,0.16350220143795013,0.20000000298023224,0.28290125727653503,0.6642334461212158
-61.083333333333336,4.250000000000003,0.005988174583762884,0.06828274577856064,0.1320563554763794,0.048987407237291336,0.687908411026001,0.18864461779594421,0.19046106934547424,0.20000000298023224,0.28276363015174866,0.6819202303886414
-60.91666666666667,4.250000000000003,0.014000710099935532,0.08403009176254272,0.1780940443277359,0.05793146416544914,0.6330756545066833,0.19342640042304993,0.1947047859430313,0.4000000059604645,0.2530052065849304,0.6190749406814575
-60.75,4.250000000000003,0.013366764411330223,0.05121280625462532,0.1470876932144165,0.04090533033013344,0.4714948236942291,0.14481347799301147,0.14573244750499725,0.20000000298023224,0.18944795429706573,0.45812806487083435
-60.583333333333336,4.250000000000003,0.02924349345266819,0.08706998825073242,0.12596666812896729,0.042295005172491074,0.4339023232460022,0.14369548857212067,0.14448928833007813,0,0.1666748970746994,0.40465882420539856
-60.41666666666667,4.250000000000003,0.015049977228045464,0.04816150292754173,0.10071150958538055,0.024329956620931625,0.32053714990615845,0.10175801813602448,0.10232537984848022,0,0.1267392784357071,0.30548718571662903
