produto,cenario,periodo,gcm,modelos_incluidos,n_modelos,n_pixels,minimo,primeiro_quartil,mediana,media,terceiro_quartil,maximo,desvio_padrao
ensemble_media,ssp126,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.004973476883651529,0.04830820329952985,0.08350023357197642,0.11373419695370315,0.15398859996348618,0.6852297067642212,0.09434186751749311
incerteza_sd,ssp126,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.005054905508591484,0.04953721713575696,0.08882685776412978,0.1066605110207907,0.15430280999758203,0.4195321806462227,0.06926401196894293
ensemble_media,ssp245,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.005139740490358235,0.05167629988864064,0.08363904170691967,0.1112882166751784,0.14961661249399186,0.6776241540908814,0.08641156702471876
incerteza_sd,ssp245,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.004829218839880539,0.052762476898287176,0.08275871119746923,0.0985172947059254,0.1325883085166373,0.4053949072376791,0.059548025278704876
ensemble_media,ssp370,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.008380647182639266,0.05741519061848521,0.09380220863968133,0.12461237907910529,0.1663624957203865,0.7358819484710694,0.0940832225344899
incerteza_sd,ssp370,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.011385994129487185,0.057265270252870946,0.0809264122739148,0.0933133326535636,0.11502470666706976,0.41127501069953565,0.054089498769208856
ensemble_media,ssp585,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.017860325444053204,0.07124985940754414,0.12427763640880585,0.15868356387672003,0.22182721346616746,0.7765429973602295,0.11130110347176411
incerteza_sd,ssp585,2061-2080,MIROC6,"GLM, GAM, RF, BRT, MaxEnt",5,12053,0.01949708770264173,0.06522447539017782,0.08433982510558008,0.10566980047656292,0.10918752752290191,0.44245207961917277,0.0746605459002014
