variavel,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
bio3_isotermalidade,0.42359467984077476,-0.053429886275148546,0.19156759952431374,-0.18238368272779534,0.2805315168827781,-0.11398965090971765,0.12473422174735938,0.10451842928693683,-0.46679024732325525,-0.28654742278475787,-0.33994244854634886,-0.46261551218195957
bio4_sazonalidade_temperatura,-0.26237448625548265,-0.14328118336019455,-0.05318329314012528,-0.0913749659190686,0.4694382907497333,0.7214144074804972,0.07117189356259818,-0.3214112735583967,0.021442259781333434,0.1061269389796885,-0.1198225452608119,-0.15553277149990824
bio5_temp_max_mes_quente,-0.2954300466818605,0.28072735929098525,-0.3174873770990416,0.18361510024688302,-0.2763115061794316,-0.0024609385679600915,-0.4919092797364895,-0.14561538925558754,-0.32942581770131046,0.03937458585815112,-0.46133632950205894,-0.19226251731510757
bio8_temp_media_trimestre_umido,0.26949704082379766,0.10598771856650517,-0.5124207292344793,-0.13505350250337064,0.24067629163110382,0.1327193056504755,-0.3967483053793146,0.10111519269160012,-0.20766208684639326,-0.22400508224559093,0.5440782681626881,0.05317446455241237
bio12_precipitacao_anual,0.4167010934408716,-0.035263124533175344,0.10094992189946238,0.20614858414595844,-0.35372239313420384,0.25973766057262315,-0.14719598722577615,-0.03754524456629564,0.21258529328258885,0.3551842868038152,0.2234480187809787,-0.5792164499715838
bio13_precipitacao_mes_umido,0.15393505858877812,0.4509576758224124,0.2132503032189239,0.27167454838000893,-0.18083427826282916,0.5471335395117326,0.16353405302865126,0.36708598791778363,-0.16162718053282576,-0.20371398061788457,-0.07268159863931213,0.2952988636072009
bio14_precipitacao_mes_seco,0.43474759530296064,-0.18271851493936017,0.13256974292584167,-0.07741542631222112,-0.01794296780028673,0.04423168928012533,-0.18472090691612902,-0.31003521514078247,-0.33761928344539605,0.46309031115697136,-0.14326646495757547,0.5220669022009284
bio18_precipitacao_trimestre_quente,0.18401940520106208,-0.5686246376848769,-0.10549456891572202,0.09241694866222841,-0.2830183049324777,0.18724637902436295,-0.18731282511018543,-0.08643853234743287,0.25359692634425496,-0.5652267360386903,-0.24764661140376132,0.1424538290911936
bio19_precipitacao_trimestre_frio,0.19004492518929356,0.5161600199873151,0.25173926091650417,-0.06230573327293301,0.08442454541559488,-0.097019679471984,-0.11987675099656628,-0.6369620396127345,0.2978136187289845,-0.3221316643028372,0.02289324596735552,0.024286653177207615
elevacao,-0.3336332353219482,-0.21463958088162458,0.4142007396210853,0.09372816525268196,-0.24622983998301326,0.03525232316021104,-0.03074633366915169,-0.2623406849353619,-0.5063101398575848,-0.22011597783584688,0.4700503073601708,-0.06988109672830815
declividade,-0.14765947619279973,-0.02964968765859478,0.5220896549847313,-0.2364247532250541,0.19188865025236385,0.040844530365936445,-0.656867205076989,0.3741855796116778,0.18761562851675806,0.03296803408758057,-0.04790447635116531,0.01682397965181287
orientacao,-0.04882275920713898,0.10898502417584752,-0.07223031483188867,-0.840851281374412,-0.4731140060607419,0.1810715618961939,0.12483480104641356,0.005405747095511296,-0.012067125528449546,0.0017622162701051588,-0.01993317597081288,-0.026603224950604354
