lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,tipo
-67.41666666666667,-2.5833333333333304,85.86112976074219,33.49116516113281,31.430500030517578,26.156665802001953,3037,319,176,639,779,Background amazônico
-66.08333333333333,-9.08333333333333,75.6731185913086,57.40327072143555,32.47325134277344,25.999332427978516,1890,262,20,477,142,Background amazônico
-52.25,-3.9166666666666643,79.81321716308594,46.328285217285156,31.22049903869629,24.534542083740234,2155,362,36,170,955,Background amazônico
-58.583333333333336,-10.749999999999996,68.23628997802734,55.169429779052734,33.87324905395508,25.06712532043457,1959,339,4,240,64,Background amazônico
-51.91666666666667,-12.249999999999996,72.39082336425781,90.10664367675781,33.9322509765625,26.0867919921875,1662,307,2,415,50,Background amazônico
-63.75,0.4166666666666696,89.34226989746094,39.52768325805664,32.32550048828125,26.207332611083984,2571,369,125,471,859,Background amazônico
-56.41666666666667,-5.416666666666664,75.05656433105469,46.463111877441406,32.817501068115234,25.873416900634766,2380,351,48,455,971,Background amazônico
-64.08333333333333,-10.916666666666664,74.05870819091797,58.46934127807617,32.51274871826172,25.352209091186523,1744,273,16,413,137,Background amazônico
-56.25,-5.7499999999999964,73.713470458984375,43.647308349609375,33.037498474121094,25.841291427612305,2507,382,42,501,1046,Background amazônico
-67.08333333333333,-4.416666666666664,82.33708953857422,33.808387756347656,31.80175018310547,26.253042221069336,2639,324,110,570,392,Background amazônico
-52.583333333333336,-12.749999999999996,70.01180267333984,99.61958312988281,34.471248626708984,25.57666778564453,1627,291,2,392,42,Background amazônico
-65.75,-4.416666666666664,83.769866943359375,28.91927146911621,32.00825119018555,26.393583297729492,2490,323,97,508,444,Background amazônico
-72.91666666666667,-7.416666666666664,78.97645568847656,52.99996566772461,31.10300064086914,25.455833435058594,2248,290,66,671,231,Background amazônico
-50.41666666666667,-6.08333333333333,76.85125732421875,41.9447135925293,31.3489990234375,23.11858367919922,1903,303,20,274,840,Background amazônico
-62.25,-0.9166666666666643,87.50218963623047,32.19338607788086,31.5310001373291,26.11483383178711,2642,358,145,476,872,Background amazônico
-63.75,-11.083333333333329,73.3973388671875,57.89848709106445,32.23524856567383,24.92829132080078,1742,276,15,411,131,Background amazônico
-53.25,2.0833333333333357,80.95686340332031,57.49457550048828,31.616750717163086,24.80324935913086,2342,346,55,208,749,Background amazônico
-65.08333333333333,0.4166666666666696,90.33860778808594,35.13673400878906,32.29724884033203,26.136709213256836,2484,324,143,484,745,Background amazônico
-63.41666666666667,-2.9166666666666643,89.07537841796875,26.22742462158203,31.506999969482422,26.32079315185547,2564,298,123,597,624,Background amazônico
-60.583333333333336,-12.583333333333329,69.316192626953125,80.61151885986328,32.385501861572266,24.255958557128906,1803,301,9,427,87,Background amazônico
-57.91666666666667,-10.916666666666664,69.0828857421875,55.87539291381836,33.861751556396484,25.330041885375977,1986,334,2,458,64,Background amazônico
-55.75,-7.7499999999999964,67.24951934814453,49.078433990478516,34.33625030517578,25.40391731262207,2116,339,12,293,933,Background amazônico
-67.91666666666667,-6.916666666666664,80.31697082519531,47.91096878051758,31.742250442504883,25.71037483215332,2352,331,50,520,182,Background amazônico
-59.25,-15.583333333333329,68.09712219238281,158.0812530517578,33.537750244140625,26.56391716003418,1533,270,19,511,109,Background amazônico
-51.083333333333336,-7.2499999999999964,74.29325103759766,31.073673248291016,33.39274978637695,24.610166549682617,1952,288,13,341,775,Background amazônico
-59.41666666666667,-7.916666666666664,70.085540771484375,34.0952262878418,33.48699951171875,25.534208297729492,2025,307,13,295,879,Background amazônico
-64.91666666666667,-5.58333333333333,81.5342788696289,29.19474220275879,32.32624816894531,26.34925079345703,2660,343,81,573,406,Background amazônico
-71.08333333333333,-6.2499999999999964,81.54595184326172,44.01832580566406,31.07775115966797,25.60279083251953,2540,295,88,753,314,Background amazônico
-55.25,-2.5833333333333304,77.29167175292969,63.33254623413086,32.036251068115234,25.844499588012695,1875,312,32,168,867,Background amazônico
-67.41666666666667,-1.2499999999999973,86.48872375488281,40.427581787109375,31.32874870300293,25.688417434692383,3022,328,196,675,757,Background amazônico
-56.91666666666667,-12.916666666666664,74.67610931396484,88.1392593383789,31.928998947143555,24.782791137695313,2094,354,3,850,37,Background amazônico
-52.91666666666667,-11.249999999999996,69.72623443603516,66.02891540527344,34.81650161743164,25.703250885009766,1942,332,2,500,51,Background amazônico
-49.75,-7.7499999999999964,71.21269989013672,48.30644989013672,35.17150115966797,25.538249969482422,1901,278,13,297,809,Background amazônico
-57.583333333333336,-9.249999999999996,67.378082275390625,42.18022155761719,34.120750427246094,25.06879234313965,1973,319,7,282,885,Background amazônico
-50.583333333333336,0.25000000000000266,77.74241638183594,74.20813751220703,32.83675003051758,26.309417724609375,2179,365,22,91,901,Background amazônico
-57.25,-4.7499999999999964,77.19884490966797,51.50705337524414,32.41175079345703,26.08304214477539,2329,326,70,393,921,Background amazônico
-51.25,-8.58333333333333,72.144775390625,36.19257354736328,33.693748474121094,24.664125442504883,1968,295,9,331,853,Background amazônico
-50.91666666666667,-1.7499999999999973,84.014434814453125,43.48779296875,32.302249908447266,25.802791595458984,2376,347,63,225,933,Background amazônico
-55.583333333333336,-2.9166666666666643,77.5718994140625,60.69269561767578,32.14324951171875,25.811708450317383,1957,312,37,196,818,Background amazônico
-55.75,1.9166666666666692,79.64422607421875,61.334320068359375,33.02399826049805,25.70170783996582,1843,357,43,160,474,Background amazônico
-48.41666666666667,-1.2499999999999973,82.01123046875,44.5046501159668,31.077499389648438,26.011333465576172,2698,464,63,303,1303,Background amazônico
-66.75,-3.9166666666666643,84.19124603271484,31.087665557861328,31.703500747680664,26.250083923339844,2786,340,130,599,570,Background amazônico
-65.41666666666667,-3.9166666666666643,85.24498748779297,27.6153507232666,32.00699996948242,26.452375411987305,2532,319,118,522,493,Background amazônico
-55.41666666666667,-3.4166666666666643,77.636932373046875,59.88654708862305,32.1879997253418,25.7552490234375,1882,303,41,210,787,Background amazônico
-59.91666666666667,1.2500000000000027,79.74809265136719,56.028018951416016,32.56449890136719,26.113250732421875,1843,346,57,257,943,Background amazônico
-64.41666666666667,1.2500000000000027,90.4421157836914,38.57364273071289,32.46574783325195,26.059459686279297,2435,341,123,430,775,Background amazônico
-60.583333333333336,1.9166666666666692,80.596405029296875,62.25672149658203,32.88850021362305,26.328125,1814,363,47,243,882,Background amazônico
-61.583333333333336,-4.58333333333333,84.950225830078125,29.87679100036621,32.281497955322266,26.673416137695313,2506,310,90,496,872,Background amazônico
-67.58333333333333,-2.2499999999999973,86.6216812133789,36.05522155761719,31.232999801635742,25.97104263305664,3127,331,193,647,837,Background amazônico
-62.25,-10.249999999999996,69.4651107788086,50.687171936035156,33.859249114990234,25.041166305541992,2069,321,13,264,130,Background amazônico
-58.91666666666667,-0.4166666666666643,79.96216583251953,52.03169250488281,31.653499603271484,25.64550018310547,2214,339,102,317,737,Background amazônico
-68.58333333333333,-4.2499999999999964,83.06584930419922,37.42330551147461,31.315750122070313,26.009124755859375,2601,301,121,577,512,Background amazônico
-65.58333333333333,-9.249999999999996,75.5248031616211,55.0538330078125,32.697750091552734,26.11220932006836,1836,275,17,449,141,Background amazônico
-61.583333333333336,1.0833333333333357,85.88774871826172,51.42179870605469,32.864749908447266,26.489665985107422,1946,327,69,268,906,Background amazônico
-50.75,-5.916666666666664,77.21300506591797,37.93119430541992,32.11825180053711,24.068374633789063,1860,305,18,249,848,Background amazônico
-61.75,-1.7499999999999973,87.63399505615234,30.771915435791016,31.556499481201172,26.277250289916992,2510,316,134,482,702,Background amazônico
-63.583333333333336,-1.0833333333333304,88.2770767211914,31.339099884033203,31.428749084472656,26.01883316040039,2520,318,142,493,657,Background amazônico
-62.75,-8.58333333333333,71.51457977294922,44.22679138183594,32.65824890136719,25.412416458129883,2301,359,17,516,189,Background amazônico
-52.75,-11.083333333333329,69.40299224853516,60.55342102050781,35.35350036621094,25.83966636657715,1990,333,3,519,58,Background amazônico
-60.583333333333336,3.5833333333333357,83.3723373413086,73.39689636230469,33.41350173950195,26.4737491607666,1714,329,38,278,821,Background amazônico
-71.75,-7.2499999999999964,79.8653564453125,51.532867431640625,30.816499710083008,25.312376022338867,2340,281,75,731,263,Background amazônico
-67.08333333333333,-0.7499999999999973,87.1904067993164,43.06197738647461,31.53874969482422,25.8226261138916,2803,312,175,616,703,Background amazônico
-58.41666666666667,-3.5833333333333304,78.56657409667969,55.94375991821289,32.70750045776367,26.508541107177734,2212,308,80,318,879,Background amazônico
-67.41666666666667,-2.4166666666666643,86.44294738769531,34.35549545288086,31.34950065612793,26.074583053588867,3097,329,184,731,702,Background amazônico
-52.083333333333336,-9.58333333333333,71.64508056640625,37.51856231689453,34.44599914550781,25.66729164123535,1988,317,6,322,63,Background amazônico
-54.75,-4.416666666666664,77.75642395019531,49.81413269042969,31.291749954223633,24.49774932861328,1881,315,43,273,815,Background amazônico
-66.58333333333333,-9.416666666666664,74.33763885498047,65.13176727294922,32.512001037597656,26.082416534423828,1906,282,15,478,150,Background amazônico
-53.083333333333336,-9.416666666666664,69.9904556274414,36.160438537597656,34.395751953125,25.35995864868164,2090,340,7,363,953,Background amazônico
-54.583333333333336,-9.249999999999996,65.57903289794922,62.65822982788086,34.56050109863281,24.774791717529297,2182,331,9,154,952,Background amazônico
-63.583333333333336,-4.2499999999999964,86.20588684082031,27.529314041137695,31.945249557495117,26.538249969482422,2195,261,84,570,435,Background amazônico
-64.75,-8.58333333333333,75.2662124633789,45.50616455078125,32.87575149536133,26.009790420532227,2122,304,24,505,177,Background amazônico
-70.91666666666667,-6.7499999999999964,81.674346923828125,45.708168029785156,31.022249221801758,25.510082244873047,2459,291,71,752,277,Background amazônico
-67.75,-7.916666666666664,78.89610290527344,59.93741226196289,31.709501266479492,25.51129150390625,2110,301,37,476,132,Background amazônico
-61.41666666666667,-0.08333333333333037,86.12378692626953,41.82843017578125,32.36149978637695,26.56974983215332,2267,340,104,373,865,Background amazônico
-53.75,-4.7499999999999964,77.9242935180664,43.853424072265625,31.94325065612793,24.870832443237305,1712,296,26,248,818,Background amazônico
-54.75,-1.9166666666666643,78.38079833984375,66.06459045410156,32.540748596191406,26.064916610717773,1640,295,27,154,791,Background amazônico
-47.41666666666667,-3.5833333333333304,83.159271240234375,45.84126281738281,31.968250274658203,25.364707946777344,1827,358,36,184,906,Background amazônico
-62.91666666666667,-6.58333333333333,76.889404296875,34.669193267822266,32.989749908447266,26.05329132080078,2181,306,39,338,266,Background amazônico
-56.75,-3.2499999999999964,76.646881103515625,64.27537536621094,32.87174987792969,26.300500869750977,2222,325,56,274,886,Background amazônico
-58.083333333333336,0.9166666666666696,78.95861053466797,54.785499572753906,31.277250289916992,24.984708786010742,1946,337,68,229,819,Background amazônico
-53.083333333333336,-2.0833333333333304,82.52385711669922,56.92380142211914,31.967750549316406,25.86887550354004,1812,295,30,113,663,Background amazônico
-52.91666666666667,-7.416666666666664,72.44480895996094,31.89910125732422,33.4787483215332,24.68516731262207,2025,302,15,333,896,Background amazônico
-51.41666666666667,4.083333333333336,74.30992889404297,52.955421447753906,32.79600143432617,26.009374618530273,3258,500,67,278,1065,Background amazônico
-65.58333333333333,-9.08333333333333,75.7081298828125,53.49128723144531,32.654998779296875,26.082332611083984,1875,272,19,462,141,Background amazônico
-59.41666666666667,-0.9166666666666643,80.36267852783203,49.24568557739258,32.12324905395508,26.2432918548584,2250,319,109,341,670,Background amazônico
-50.91666666666667,-4.2499999999999964,80.703338623046875,44.15254211425781,31.60849952697754,24.8105411529541,1901,356,30,186,952,Background amazônico
