Longitude,Latitude
-45.224797,-23.53196
-82.713203,9.640108
-83.785605,10.44033
-75.625977,8.748362
-76.626267,8.690514
-76.432191,7.236599
-70.212962,9.250995
-75.643748,9.772981
-76.787678,8.427174
-42.870236,-20.761013
-79.715582,9.120658
-74.217933,-4.232473
-74.94332,6.40949
-76.508834,8.490633
-76.561687,7.88392
-76.603429,7.6384
-72.81661,7.98337
-46.300089,-23.77801
-79.420158,9.167845
-75.43753,-0.993938
-66.303529,10.232468
-46.963205,-23.938134
-85.442769,10.656032
-83.238288,10.163283
-79.344753,-0.11679200000000001
-52.370494,-12.960411
-80.008285,0.076667
-72.866398,2.529808
-62.29978,-3.736095
-50.875486,0.299783
-76.116101,-5.883346
-63.578807,-17.990749
-46.964208,-23.590681
-47.933533,-24.201595
-42.717359,-22.719132
-76.686975,7.238666
-74.92391,5.86226
-71.151881,-12.061486
-83.096174,8.479645
-54.885894,-2.334478
-39.41545,-17.141098
-70.978012,-12.247817
-75.5305,-5.194368
-80.365865,8.626607
-82.523571,9.500169
-72.536316,-11.878259
-39.098067,-16.587101
-76.274565,-6.582821
-78.963852,9.378215
-49.123098,-5.367108
-74.6472,-8.269688
-67.405747,-14.363933
-73.634082,-7.455741
-59.356812,-3.656302
-68.898308,-11.101502
-64.436317,-14.89916
-82.220388,8.664946
-48.380587,-1.383862
-79.893068,8.634251
-59.134482,-3.578947
-76.911403,-0.921409
-68.979853,-12.51892
-46.478854,-23.58369
-75.377788,9.348841
-57.63706,-3.050757
-65.159258,-2.982237
-68.2273,-10.090998
-85.208986,10.676206
-75.015945,-6.408713
-73.578609,6.617621
-42.496688,-22.310363
-73.0533,-3.547904
-73.940804,-7.448696
-82.371177,9.065865
-85.829855,12.966186
-84.348457,10.525106
-80.70891,-0.967653
-51.056096,0.040521
-74.444022,-5.258136
-50.34516,-6.151881
-73.945997,-3.940145
-69.326654,-12.784007
-49.336749,-5.111746
-44.005944,-22.830888
-85.187822,10.010157
-64.768763,-15.197737
-69.343097,-12.51058
-83.105576,9.950046
-73.903616,-4.342124
-39.019126,-16.252087
-75.695603,-0.328409
-63.36911,-16.484145
-36.48904,-8.893609
-43.214379,-22.951639
-47.561876,-24.004135
-69.532648,-12.050382
-79.651031,-0.093798
-75.238246,10.444328
-85.147337,12.226872
-36.278361,-10.058457
-67.094254,-14.171147
-73.232904,-4.325702
-83.70958,9.904825
-63.49942,-15.677105
-73.441089,-4.447964
-78.753513,0.036731
-80.782127,8.528693
-85.558637,13.236547
-47.218203,-5.398665
-63.700581,-17.467833
-67.013708,10.348362
-39.41564,-16.888145
-80.824445,8.127927
-80.554063,8.803813
-80.002188,9.229509
-78.471557,-5.095329
-80.105408,8.424839
-67.976355,3.843853
-80.801096,7.858741
-80.408871,7.926188
-43.334567,-18.040303
-84.544738,10.314467
-83.914049,10.174161
-74.103001,-5.029366
-75.925295,0.991618
-80.236944,-0.17
-47.049471,-22.909025
-83.874694,9.2947
-86.881427,15.645323
-74.583726,6.186497
-76.131698,9.246123
-79.270163,-0.367238
-78.023558,8.958963
-77.690819,8.471878
-75.335257,8.054042
-83.850464,9.644373
-85.824142,10.306582
-77.974571,8.573336
-83.601716,13.553625
-76.859141,-0.278019
-78.66781,9.062352
-79.590315,8.898046
-40.670846,-18.963135
-84.539691,10.66688
-40.234543,-15.239159
-46.002735,-23.77953
-48.623913,-1.503907
-76.451665,5.320765
-44.328018,-2.942752
-48.238014,-18.911859
-44.780005,-3.450959
-74.207786,11.052294
-72.936453,4.258918
-74.761462,6.688303
-75.197641,8.999624
-77.44326,-0.98676
-48.511377,-8.826798
-72.917502,-3.257886
-48.000703,-7.143258
-83.36343,8.741474
-84.215486,9.943718
-83.943236,9.909856
-50.139622,-6.039769
-76.875886,7.780115
-84.790046,10.559683
-44.570922,-3.211825
-62.995999,-17.754323
-60.268811,-3.095825
-66.825588,-14.0662
-60.7407,-2.96646
-72.08253,-2.168561
-34.865612,-7.847672
-76.516222,-6.495508
-43.533994,-22.824565
-73.662273,7.033
-72.333588,-4.420605
-46.600156,-1.065974
-66.287987,-16.002147
-58.443859,-3.116476
-35.073356,-7.013625
-69.512816,-12.964575
-79.575012,-0.351435
-72.55564,4.625389
-70.230056,-4.263523
-85.971322,14.298682
-50.018518,-5.453158
-81.866951,8.17131
-48.010733,-1.168851
-46.235923,-23.469597
-35.198819,-8.035314
-85.647042,12.729432
-67.710093,-14.319874
-73.915039,11.282175
-35.860329,-8.701122
-77.929457,8.343057
-84.207535,15.169607
-75.309798,5.712002
-42.542376,-20.923691
-83.764245,12.31068
-83.35034,9.668869
-64.732915,-3.35295
-83.646677,8.719265
-65.411189,-16.971429
-75.449731,10.573852
-56.45065,-2.4535
-68.017253,10.184435
-69.962775,-4.189988
-75.889045,8.755741
-71.793832,6.16851
-61.674624,-3.971372
-69.728031,-6.952068
-66.776838,10.428343
-67.978577,-2.951928
-40.00602,-19.274044
-71.922932,-3.250686
-76.277938,-0.440072
-65.971612,-10.861434
-40.955588,-16.351903
-44.939337,-23.348717
-74.259846,6.050207
-72.36049,5.519847
-41.817038,-19.731355
-68.732265,10.336978
-42.768547,-5.041094
-46.524424,-24.025739
-83.362744,8.420876
-54.968891,-2.54542
-61.302749,-2.674448
-69.707276,-5.145233
-71.572395,-1.442912
-77.869288,-0.944958
-83.429347,10.378911
-43.059677,-22.54783
-60.473402,-2.813112
-60.174941,-3.372773
-83.573744,10.67156
-35.00322,-7.576409
-84.69909,12.222559
-43.416613,-22.591977
-77.66494,-1.039396
-36.087784,-9.770595
-84.172348,10.259917
-84.076628,12.269076
-54.935057,-6.154415
-61.880043,-16.149961
-85.593598,10.276939
-53.125782,3.933889
-63.269832,-17.781626
-79.198411,0.478235
-60.728374,-1.092626
-67.857528,-9.969447
-73.866074,7.244918
-76.893405,3.834102
-39.225055,-17.334193
-76.896413,0.100136
-79.665326,0.373042
-79.205588,9.292801
-77.361175,6.491936
-73.854246,7.504035
-76.20152,9.000463
-75.709444,9.397753
-73.540926,-4.794238
-79.804054,9.340924
-68.466294,-12.416484
-73.139476,-4.078471
-75.9075,-0.7845
-42.033432,-20.256096
-65.406333,-13.755027
-34.842948,-7.136443
-80.117358,8.672911
-85.690645,10.555461
-75.811234,4.420854
-75.953692,-0.163299
-81.21019,8.215044
-60.02187,-3.604779
-69.10675,10.25986
-70.601234,-12.439679
-72.791531,-7.622657
-77.930556,2.586389
-40.525067,-15.783991
-74.350346,-4.714621
-74.497692,-8.449049
-45.459931,-23.639852
-41.846675,-20.419087
-41.91841,-18.886334
-76.733086,8.172274
-44.709793,-23.169589
-75.632195,8.315745
-70.398449,-3.836578
-73.924978,-5.583777
-67.06338,-0.129645
-83.610027,9.331621
-49.510775,-5.926726
-61.553886,-16.206719
-79.998868,-3.665905
-46.737612,-23.040862
-79.875036,8.909395
-82.41907,8.387351
-67.375519,-15.555561
-79.555679,-1.758137
-74.799241,9.315066
-81.778702,8.659123
-71.685617,-12.035443
-79.682527,-3.680412
-78.665004,-3.550854
-46.7664,-23.456581
-40.482949,-19.245638
-66.208562,-11.132256
-54.661153,-2.454175
-77.063826,-0.426305
-73.58325,8.466687
-78.539342,8.822741
-79.543405,9.554406
-75.807059,4.74411
-83.453715,9.981545
-78.843927,1.269477
-74.76936,5.67388
-75.540111,7.922564
-42.773567,-22.45336
-78.682059,-4.049379
-77.242936,-0.563401
-72.543301,-7.728313
-75.15855,9.91659
-44.218904,-2.529547
-85.322363,10.881647
-41.122526,-20.079565
-76.408205,0.482003
-74.3811,4.760126
-76.118336,-7.039594
-60.45389,-15.760626
-76.412579,8.873263
-74.062928,7.969278
-86.834167,14.452016
-77.724324,8.087327
-63.696231,-16.229823
-77.395658,-1.232799
-65.720836,-2.223968
-84.979334,10.708515
-84.571365,13.686716
-63.18716,-18.119742
-73.01171,-12.582729
-76.629851,1.088322
-45.728458,-23.746997
-86.055908,13.241951
-74.936943,-9.618475
-47.294214,-0.733342
-83.106641,9.627196
-46.979934,-24.288343
-83.589996,8.473892
-82.801638,9.327177
-78.212862,8.763631
-77.516615,7.620419
-74.799173,7.915555
-73.84056,7.771867
-73.390294,7.759571
-52.24305,-1.747075
-75.392655,10.025388
-74.299965,6.602396
-43.404072,-21.80648
-75.6147,-0.8174
-60.615762,-3.275397
-81.216364,8.70676
-35.9116,-9.609222
-76.939444,6.866389
-49.913112,-5.912677
-44.606268,-22.455686
-77.385555,0.010252
-79.731926,-2.311391
-79.839052,-3.394399
-76.383508,-0.124434
-73.029182,4.476853
-67.295488,10.417529
-41.381158,-19.264089
-84.170847,10.718721
-75.025956,9.183511
-73.337534,6.443588
-61.142358,-2.056396
-35.857986,-9.227494
-82.463638,8.696419
-57.070312,-5.432979
-61.460287,-1.938734
-72.231231,-3.609092
-73.088387,7.06758
-76.2789,-0.6949
-75.539828,10.359316
-64.849664,-3.062525
-73.242954,-3.760527
-76.159561,8.061001
-75.45455,8.48396
-79.142597,-0.779835
-59.949405,-3.263303
-76.052243,-0.547727
-64.904065,-14.83533
-75.251734,-0.614761
-74.211549,-8.700894
-73.767349,6.773156
-84.157747,9.420708
-79.62084,0.957202
-61.944418,-20.022504
-59.906183,-8.346386
-82.152021,8.941825
-73.247714,4.680975
-82.955483,8.797877
-75.978544,8.499458
-73.577847,7.605
-78.781429,0.850687
-75.43257,9.109622
-78.987313,-0.323091
-84.691523,15.41735
-70.811995,-11.76687
-65.279948,-10.857263
-55.419713,-7.041283
-84.954686,11.009892
-78.105216,-1.428544
-72.813995,10.895814
-73.359691,10.258351
-73.027362,10.639718
-69.581475,-12.711181
-60.835,-2.519
-73.983003,-5.9564
-78.729923,1.822315
-75.330284,9.632152
-76.606778,-0.396236
-60.298333,-3.792778
-76.324,4.13341
-44.172175,-22.543504
-41.94873,-20.931849
-76.184517,-0.01401
-35.63184,-9.544513
-34.967122,-8.078116
-77.4885,7.869056
-84.599739,9.794793
-75.158736,10.762469
-70.486766,-3.604219
-63.129889,-17.522066
-75.403976,7.281105
-59.815379,-3.72999
-73.781944,-4.901675
-79.168189,0.108468
-72.75341,-3.459935
-70.8441,-3.378383
-83.719485,10.937781
-72.515478,-3.473687
-74.86534,10.83827
-71.391594,-12.788967
-73.996533,6.948638
-44.432584,-6.185554
-45.7781011,-23.507333
-45.5455593,-23.1060183
-45.6478126,-23.3114347
-46.0050893,-23.3911201
-45.1788713,-23.2829978
-85.615082,11.22151
-63.395367,-17.35487
-84.82551,10.274968
-73.847917,-4.641194
-67.498107,-15.352352
-73.64267,3.600236
-83.274654,9.164949
-84.718233,11.01583
-74.743515,-8.914979
-76.666667,5.416667
-74.172133,-2.294842
-84.180317,9.696053
-75.192222,8.66
-75.881758,9.200371
-74.089993,-4.499921
-74.135398,10.700235
-55.063022,-2.896279
-71.303811,6.010175
-69.192392,-10.705993
-83.675301,10.201364
-64.820785,-9.45629
-50.815554,-29.322745
-39.228117,-16.366984
-68.333928,-14.189209
-70.1732,-3.85943
-78.21697,8.075843
-76.293707,-6.357701
-76.867139,-2.530606
-68.254463,10.281756
-73.614806,11.029472
-71.45589,6.92873
-84.036808,10.468161
-76.748056,-1.096389
-46.955926,-23.230635
-77.12513,8.35975
-60.697753,-2.739008
-73.376972,7.063028
-66.695134,10.060839
-76.206611,3.737472
-35.155122,-6.687534
-76.428381,3.849119
-43.710339,-22.609993
-59.864384,-2.826802
-54.073502,-2.000953
-65.330648,-2.549277
-76.113503,4.738219
-74.16896,10.46258
-75.5756,4.730136
-65.027114,-2.554741
-82.248802,9.347109
-40.147059,-19.055518
-41.50833,-17.76418
-76.454102,-6.846464
-85.153122,9.672495
-84.33368,10.974243
-77.122222,7.437778
-61.091194,-2.547988
-73.741549,-10.722345
-84.478173,11.487167
-77.248056,5.6805
-77.346278,2.770167
-85.537242,15.459803
-40.496422,-20.285891
-60.076763,-2.936506
-74.104156,-5.296433
-47.103867,-0.932511
-84.520795,9.561065
-82.915168,9.79761
-76.392017,8.2551
-67.592928,10.374851
-76.632222,-7.165278
-40.512252,-13.203306
-77.271111,6.092778
-83.69857,9.120275
