lon,lat,classe,classe_nome
-51.416666666666664,4.083333333333333,2,Moderada
-51.58333333333333,3.916666666666667,3,Alta
-51.416666666666664,3.916666666666667,2,Moderada
-51.75,3.75,4,Muito alta
-51.58333333333333,3.75,2,Moderada
-51.416666666666664,3.75,2,Moderada
-51.25,3.75,2,Moderada
-51.75,3.5833333333333335,4,Muito alta
-51.58333333333333,3.5833333333333335,4,Muito alta
-51.416666666666664,3.5833333333333335,3,Alta
-51.25,3.5833333333333335,2,Moderada
-51.916666666666664,3.416666666666667,4,Muito alta
-51.75,3.416666666666667,4,Muito alta
-51.58333333333333,3.416666666666667,4,Muito alta
-51.416666666666664,3.416666666666667,4,Muito alta
-51.25,3.416666666666667,4,Muito alta
-52.08333333333333,3.25,4,Muito alta
-51.916666666666664,3.25,4,Muito alta
-51.75,3.25,4,Muito alta
-51.58333333333333,3.25,4,Muito alta
-51.416666666666664,3.25,4,Muito alta
-51.25,3.25,4,Muito alta
-52.08333333333333,3.0833333333333335,4,Muito alta
-51.916666666666664,3.0833333333333335,4,Muito alta
-51.75,3.0833333333333335,4,Muito alta
-51.58333333333333,3.0833333333333335,4,Muito alta
-51.416666666666664,3.0833333333333335,4,Muito alta
-51.25,3.0833333333333335,4,Muito alta
-60.08333333333333,2.916666666666667,2,Moderada
-52.25,2.916666666666667,4,Muito alta
-52.08333333333333,2.916666666666667,4,Muito alta
-51.916666666666664,2.916666666666667,4,Muito alta
-51.75,2.916666666666667,4,Muito alta
-51.58333333333333,2.916666666666667,4,Muito alta
-51.416666666666664,2.916666666666667,4,Muito alta
-51.25,2.916666666666667,4,Muito alta
-60.58333333333333,2.75,2,Moderada
-60.416666666666664,2.75,2,Moderada
-60.25,2.75,1,Baixa
-60.08333333333333,2.75,1,Baixa
-52.25,2.75,4,Muito alta
-52.08333333333333,2.75,4,Muito alta
-51.916666666666664,2.75,4,Muito alta
-51.75,2.75,4,Muito alta
-51.58333333333333,2.75,4,Muito alta
-51.416666666666664,2.75,4,Muito alta
-51.25,2.75,4,Muito alta
-51.08333333333333,2.75,4,Muito alta
-60.916666666666664,2.5833333333333335,2,Moderada
-60.75,2.5833333333333335,2,Moderada
-60.58333333333333,2.5833333333333335,2,Moderada
-60.416666666666664,2.5833333333333335,2,Moderada
-60.25,2.5833333333333335,2,Moderada
-60.08333333333333,2.5833333333333335,1,Baixa
-52.416666666666664,2.5833333333333335,4,Muito alta
-52.25,2.5833333333333335,4,Muito alta
-52.08333333333333,2.5833333333333335,4,Muito alta
-51.916666666666664,2.5833333333333335,4,Muito alta
-51.75,2.5833333333333335,4,Muito alta
-51.58333333333333,2.5833333333333335,4,Muito alta
-51.416666666666664,2.5833333333333335,4,Muito alta
-51.25,2.5833333333333335,4,Muito alta
-51.08333333333333,2.5833333333333335,4,Muito alta
-61.25,2.416666666666667,2,Moderada
-61.08333333333333,2.416666666666667,3,Alta
-60.916666666666664,2.416666666666667,2,Moderada
-60.75,2.416666666666667,2,Moderada
-60.58333333333333,2.416666666666667,2,Moderada
-60.416666666666664,2.416666666666667,2,Moderada
-60.25,2.416666666666667,1,Baixa
-60.08333333333333,2.416666666666667,2,Moderada
-55.25,2.416666666666667,1,Baixa
-55.08333333333333,2.416666666666667,2,Moderada
-52.416666666666664,2.416666666666667,4,Muito alta
-52.25,2.416666666666667,4,Muito alta
-52.08333333333333,2.416666666666667,4,Muito alta
-51.916666666666664,2.416666666666667,4,Muito alta
-51.75,2.416666666666667,4,Muito alta
-51.58333333333333,2.416666666666667,4,Muito alta
-51.416666666666664,2.416666666666667,4,Muito alta
-51.25,2.416666666666667,4,Muito alta
-51.08333333333333,2.416666666666667,4,Muito alta
-50.916666666666664,2.416666666666667,4,Muito alta
-61.416666666666664,2.25,3,Alta
-61.25,2.25,3,Alta
-61.08333333333333,2.25,2,Moderada
-60.916666666666664,2.25,2,Moderada
-60.75,2.25,2,Moderada
-60.58333333333333,2.25,2,Moderada
-60.416666666666664,2.25,2,Moderada
-60.25,2.25,1,Baixa
-60.08333333333333,2.25,2,Moderada
-55.916666666666664,2.25,2,Moderada
-55.75,2.25,1,Baixa
-55.58333333333333,2.25,1,Baixa
-55.416666666666664,2.25,1,Baixa
-55.25,2.25,1,Baixa
-55.08333333333333,2.25,1,Baixa
-54.916666666666664,2.25,2,Moderada
-54.75,2.25,2,Moderada
-52.58333333333333,2.25,4,Muito alta
-52.416666666666664,2.25,4,Muito alta
-52.25,2.25,4,Muito alta
-52.08333333333333,2.25,4,Muito alta
-51.916666666666664,2.25,4,Muito alta
-51.75,2.25,4,Muito alta
-51.58333333333333,2.25,4,Muito alta
-51.416666666666664,2.25,4,Muito alta
-51.25,2.25,4,Muito alta
-51.08333333333333,2.25,4,Muito alta
-50.916666666666664,2.25,4,Muito alta
-61.58333333333333,2.0833333333333335,3,Alta
-61.416666666666664,2.0833333333333335,2,Moderada
-61.25,2.0833333333333335,2,Moderada
-61.08333333333333,2.0833333333333335,2,Moderada
-60.916666666666664,2.0833333333333335,2,Moderada
-60.75,2.0833333333333335,2,Moderada
-60.58333333333333,2.0833333333333335,2,Moderada
-60.416666666666664,2.0833333333333335,2,Moderada
-60.25,2.0833333333333335,1,Baixa
-60.08333333333333,2.0833333333333335,2,Moderada
-59.916666666666664,2.0833333333333335,2,Moderada
-55.916666666666664,2.0833333333333335,1,Baixa
-55.75,2.0833333333333335,1,Baixa
-55.58333333333333,2.0833333333333335,1,Baixa
-55.416666666666664,2.0833333333333335,1,Baixa
-55.25,2.0833333333333335,1,Baixa
-55.08333333333333,2.0833333333333335,1,Baixa
-54.916666666666664,2.0833333333333335,1,Baixa
-54.75,2.0833333333333335,2,Moderada
-54.58333333333333,2.0833333333333335,2,Moderada
-54.416666666666664,2.0833333333333335,2,Moderada
-54.25,2.0833333333333335,2,Moderada
-54.08333333333333,2.0833333333333335,3,Alta
-53.916666666666664,2.0833333333333335,2,Moderada
-53.75,2.0833333333333335,2,Moderada
-53.58333333333333,2.0833333333333335,2,Moderada
-53.416666666666664,2.0833333333333335,3,Alta
-53.25,2.0833333333333335,2,Moderada
-53.08333333333333,2.0833333333333335,4,Muito alta
-52.916666666666664,2.0833333333333335,4,Muito alta
-52.75,2.0833333333333335,4,Muito alta
-52.58333333333333,2.0833333333333335,4,Muito alta
-52.416666666666664,2.0833333333333335,4,Muito alta
-52.25,2.0833333333333335,4,Muito alta
-52.08333333333333,2.0833333333333335,4,Muito alta
-51.916666666666664,2.0833333333333335,4,Muito alta
-51.75,2.0833333333333335,4,Muito alta
-51.58333333333333,2.0833333333333335,4,Muito alta
-51.416666666666664,2.0833333333333335,4,Muito alta
-51.25,2.0833333333333335,4,Muito alta
-51.08333333333333,2.0833333333333335,4,Muito alta
-50.916666666666664,2.0833333333333335,4,Muito alta
-50.75,2.0833333333333335,4,Muito alta
-50.58333333333333,2.0833333333333335,4,Muito alta
-61.75,1.916666666666667,2,Moderada
-61.58333333333333,1.916666666666667,3,Alta
-61.416666666666664,1.916666666666667,2,Moderada
-61.25,1.916666666666667,2,Moderada
-61.08333333333333,1.916666666666667,2,Moderada
-60.916666666666664,1.916666666666667,2,Moderada
-60.75,1.916666666666667,2,Moderada
-60.58333333333333,1.916666666666667,2,Moderada
-60.416666666666664,1.916666666666667,3,Alta
-60.25,1.916666666666667,3,Alta
-60.08333333333333,1.916666666666667,2,Moderada
-59.916666666666664,1.916666666666667,1,Baixa
-55.916666666666664,1.916666666666667,2,Moderada
-55.75,1.916666666666667,2,Moderada
-55.58333333333333,1.916666666666667,2,Moderada
-55.416666666666664,1.916666666666667,1,Baixa
-55.25,1.916666666666667,1,Baixa
-55.08333333333333,1.916666666666667,1,Baixa
-54.916666666666664,1.916666666666667,1,Baixa
-54.75,1.916666666666667,2,Moderada
-54.58333333333333,1.916666666666667,2,Moderada
-54.416666666666664,1.916666666666667,2,Moderada
-54.25,1.916666666666667,3,Alta
-54.08333333333333,1.916666666666667,2,Moderada
-53.916666666666664,1.916666666666667,3,Alta
-53.75,1.916666666666667,3,Alta
-53.58333333333333,1.916666666666667,3,Alta
-53.416666666666664,1.916666666666667,3,Alta
-53.25,1.916666666666667,3,Alta
-53.08333333333333,1.916666666666667,3,Alta
-52.916666666666664,1.916666666666667,4,Muito alta
-52.75,1.916666666666667,4,Muito alta
-52.58333333333333,1.916666666666667,4,Muito alta
-52.416666666666664,1.916666666666667,4,Muito alta
-52.25,1.916666666666667,4,Muito alta
-52.08333333333333,1.916666666666667,4,Muito alta
-51.916666666666664,1.916666666666667,4,Muito alta
-51.75,1.916666666666667,4,Muito alta
-51.58333333333333,1.916666666666667,4,Muito alta
-51.416666666666664,1.916666666666667,4,Muito alta
-51.25,1.916666666666667,4,Muito alta
-51.08333333333333,1.916666666666667,4,Muito alta
-50.916666666666664,1.916666666666667,4,Muito alta
-50.75,1.916666666666667,4,Muito alta
-50.58333333333333,1.916666666666667,4,Muito alta
-61.916666666666664,1.75,1,Baixa
-61.75,1.75,1,Baixa
-61.58333333333333,1.75,2,Moderada
-61.416666666666664,1.75,2,Moderada
-61.25,1.75,2,Moderada
-61.08333333333333,1.75,1,Baixa
-60.916666666666664,1.75,1,Baixa
-60.75,1.75,1,Baixa
-60.58333333333333,1.75,2,Moderada
-60.416666666666664,1.75,2,Moderada
-60.25,1.75,2,Moderada
-60.08333333333333,1.75,2,Moderada
-59.916666666666664,1.75,1,Baixa
-59.75,1.75,1,Baixa
-57.25,1.75,1,Baixa
-57.08333333333333,1.75,1,Baixa
-56.916666666666664,1.75,1,Baixa
-56.75,1.75,2,Moderada
-56.58333333333333,1.75,2,Moderada
-56.416666666666664,1.75,1,Baixa
-56.08333333333333,1.75,1,Baixa
-55.916666666666664,1.75,2,Moderada
-55.75,1.75,2,Moderada
-55.58333333333333,1.75,1,Baixa
-55.416666666666664,1.75,2,Moderada
-55.25,1.75,1,Baixa
-55.08333333333333,1.75,1,Baixa
-54.916666666666664,1.75,1,Baixa
-54.75,1.75,2,Moderada
-54.58333333333333,1.75,2,Moderada
-54.416666666666664,1.75,2,Moderada
-54.25,1.75,3,Alta
-54.08333333333333,1.75,3,Alta
-53.916666666666664,1.75,3,Alta
-53.75,1.75,3,Alta
-53.58333333333333,1.75,3,Alta
-53.416666666666664,1.75,3,Alta
-53.25,1.75,3,Alta
-53.08333333333333,1.75,2,Moderada
-52.916666666666664,1.75,3,Alta
-52.75,1.75,4,Muito alta
-52.58333333333333,1.75,4,Muito alta
-52.416666666666664,1.75,4,Muito alta
-52.25,1.75,4,Muito alta
