lon,lat,GLM,GAM,RF,BRT,consenso_media,incerteza_sd
-60.41666666666667,5.083333333333336,2.921732300542601e-11,0.07571406662464142,0.07553055882453918,0.023918265476822853,0.043790722738805195,0.03803094806715512
-60.25,5.083333333333336,2.220446049250313e-16,0.4005015790462494,0.06863611191511154,0.02399449795484543,0.12328304722905165,0.186987813928382
-60.41666666666667,4.916666666666669,3.4739350285306614e-10,0.030200716108083725,0.05540476366877556,0.020700443536043167,0.02657648091507399,0.022985807954081023
-60.25,4.916666666666669,2.220446049250313e-16,0.050029609352350235,0.058524999767541885,0.02090459316968918,0.03236480057239538,0.026927174384291087
-60.583333333333336,4.750000000000003,1.00514152556741e-9,0.04162159562110901,0.07633928209543228,0.024637458845973015,0.03564958439191396,0.032059715750535185
-60.41666666666667,4.750000000000003,1.2766805390640457e-9,0.02742622047662735,0.058326587080955505,0.019420769065618515,0.026293394474970477,0.02426234551164495
-60.25,4.750000000000003,2.1717727616277216e-9,0.012173864059150219,0.08752618730068207,0.018079208210110664,0.029444815435428928,0.03944576688282868
-60.75,4.583333333333336,3.082141963525742e-12,0.08529730141162872,0.09755753725767136,0.04248510301113129,0.05633498542087838,0.044360509285746086
-60.583333333333336,4.583333333333336,3.5719704104264505e-12,0.045512888580560684,0.11133571714162827,0.04498540237545967,0.05045850202530515,0.0458494262367528
-60.41666666666667,4.583333333333336,6.172074051846721e-8,0.020962433889508247,0.09210317581892014,0.0341670997440815,0.0368081927933126,0.0394564616955198
-60.25,4.583333333333336,2.317075313840178e-6,0.014368301257491112,0.08891746401786804,0.023756830021739006,0.031761228093103,0.03933636157771016
-61.083333333333336,4.416666666666669,5.532391877949294e-9,0.01161385141313076,0.09379246085882187,0.03927256539463997,0.03616972079974612,0.041798113355947325
-60.91666666666667,4.416666666666669,3.883808119553578e-7,0.0075857434421777725,0.08975634723901749,0.030308710411190987,0.03191279736829955,0.04065569561050176
-60.75,4.416666666666669,5.311812145691874e-8,0.005168883595615625,0.0918230190873146,0.022879745811223984,0.029967925403068918,0.042384591337213555
-60.583333333333336,4.416666666666669,1.973030293811462e-6,0.004143512807786465,0.07601150870323181,0.020248722285032272,0.02510142920658609,0.03504569359634159
-60.41666666666667,4.416666666666669,4.668469773605466e-5,0.007297733798623085,0.07869960367679596,0.019951919093728065,0.02649898531672079,0.035759292038111616
-60.25,4.416666666666669,2.112455404130742e-4,0.008117549121379852,0.07367341220378876,0.021956125274300575,0.025989583034970565,0.03303507542950871
