lon,lat,pa,tipo,pred_brt,pred_bin_brt
-59.162667,-8.999722,1,presenca,0.015355403642626459,0
-46.799722,-3.6225,1,presenca,0.04276822648983999,0
-52.514444,-0.295278,1,presenca,0.6709564393918499,1
-62,-9.116111,1,presenca,0.1512210854509991,1
-63.94,-8.854167,1,presenca,0.3868114480936713,1
-52.380833,-1.599167,1,presenca,0.22724546208537177,1
-52.946266,1.963061,1,presenca,0.2544264359186014,1
-51.972222,0.973889,1,presenca,0.334838477010286,1
-64.048056,-9.081667,1,presenca,0.5278470204032929,1
-59.860682,-2.442484,1,presenca,0.09115280819662838,1
-59.685556,-2.315278,1,presenca,0.24657583291541196,1
-60.535278,-3.603056,1,presenca,0.12134725977026724,1
-57.846944,-9.122222,1,presenca,0.009378608388963261,0
-51.658889,0.9675,1,presenca,0.3561452139900459,1
-56.306111,-1.655278,1,presenca,0.381504904754849,1
-61.595136,-7.948514,1,presenca,0.112939796212233,1
-63.591667,-8.581667,1,presenca,0.3148381377767748,1
-60.285058,-2.439172,1,presenca,0.09720644372641557,1
-51.972222,-0.973889,1,presenca,0.1699945820049415,1
-64.736111,-9.744722,1,presenca,0.0847641870437521,1
-64.95,-9.646944,1,presenca,0.10755290294616407,1
-48.798889,-2.797222,1,presenca,0.20313291340932474,1
-51.986389,-2.301667,1,presenca,0.2775401411708809,1
-49.16,-3.035278,1,presenca,0.0805088158007173,1
-63,-11,1,presenca,0.014973202953187282,0
-53,-4,1,presenca,0.025124773779860866,0
-52.63,0.57,1,presenca,0.4952747546738375,1
-51.61687,-0.012935833,1,presenca,0.5803990263556529,1
-52.45,0.9,1,presenca,0.573174123906878,1
-51.4,2.39,1,presenca,0.8080799872016313,1
-51.18,3.43,1,presenca,0.5666220394527088,1
-51.53,2.03,1,presenca,0.38041797572863095,1
-52.22,0.81,1,presenca,0.6372531868205167,1
-51.93,2.93,1,presenca,0.16123499298617866,1
-52.95556944,1.018297222,1,presenca,0.09556981317447676,1
-52.08,0.9,1,presenca,0.594001165059731,1
-53.225626,0.77088,1,presenca,0.1033282281959537,1
