lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao,GLM,GAM,Random_Forest,BRT,Maxent
-60.41666666666667,5.083333333333336,83.599639892578125,43.55952835083008,27.319250106811523,21.291168212890625,2043.9859619140625,311.34600830078125,74.18599700927734,420.1260070800781,267.2460021972656,937,0.19304782152175903,309.20599365234375,8.162165822306507e-11,0.08881190943696014,0.07040634920634922,0.024366313750181688,3.738771558017273e-4
-60.25,5.083333333333336,82.02422332763672,46.16878128051758,25.72275161743164,19.80008316040039,2293.885986328125,352.5060119628906,75.16600036621094,425.0260009765625,316.2460021972656,1292,0.30218786001205444,282.9304504394531,2.2204460492503126e-16,0.450726493087625,0.06975833333333338,0.024110671112176157,1.744994674646172e-6
-60.41666666666667,4.916666666666669,85.1608657836914,43.98276901245117,28.26850128173828,21.909000396728516,1966.5660400390625,314.2860107421875,73.20600128173828,381.906005859375,807.22601318359375,845,0.44777432084083557,185.9596710205078,8.627264324223035e-10,0.035366880837296874,0.053080952380952395,0.020398103958775036,0.0010955190256647374
-60.25,4.916666666666669,83.39363861083984,44.99568557739258,27.03350067138672,20.720500946044922,2053.785888671875,326.0459899902344,72.22599792480469,406.406005859375,848.385986328125,1122,0.6444538831710815,194.98110961914063,2.2204460492503126e-16,0.05932857770354467,0.056640079365079365,0.026415502507074706,2.5995437217374295e-5
-60.583333333333336,4.750000000000003,86.24449157714844,48.17506408691406,28.453001022338867,21.922834396362305,1919.5260009765625,304.4859924316406,74.18599700927734,400.5260009765625,746.46600341796875,832,0.3788025379180908,131.27410888671875,2.422759975262497e-9,0.04924878551477057,0.08471746031746033,0.029766266320647255,0.0012368452284067244
-60.41666666666667,4.750000000000003,84.74327850341797,47.605873107910156,28.679250717163086,22.111291885375977,1869.5460205078125,306.4460144042969,63.40599822998047,380.9259948730469,758.22601318359375,814,0.37833118438720703,158.056640625,2.888339371551758e-9,0.03173812163680517,0.07912738095238096,0.017108339675248368,0.001515073094308761
-60.25,4.750000000000003,84.25373077392578,48.05205535888672,29.095251083374023,22.512374877929688,1841.1259765625,298.6059875488281,58.50600051879883,366.22601318359375,742.5460205078125,765,0.6268067955970764,171.68600463867188,4.552717202011221e-9,0.01394458300004336,0.08770039682539683,0.020388231594634616,0.005230827401208837
-60.75,4.583333333333336,87.63072204589844,51.29296875,27.775001525878906,21.286584854125977,1996.946044921875,312.32598876953125,65.365997314453125,304.4859924316406,844.46600341796875,941,0.6090839505195618,172.8049774169922,7.888959352567536e-12,0.09718745080861757,0.09193134920634924,0.04725086465052992,7.957904708780772e-4
-60.583333333333336,4.583333333333336,86.4422836303711,49.166786193847656,28.078250885009766,21.533584594726563,1926.385986328125,308.406005859375,65.365997314453125,375.0459899902344,806.2459716796875,914,0.6147409677505493,156.6186065673828,8.93290487750291e-12,0.05270661174733911,0.10278055555555557,0.042360612785646075,7.855708037906028e-4
-60.41666666666667,4.583333333333336,85.69293212890625,51.01173782348633,29.350749969482422,22.665250778198242,1865.6259765625,313.3059997558594,56.54600143432617,344.6659851074219,766.06597900390625,717,0.5705240964889526,155.41326904296875,1.2227977124566512e-7,0.023817735437673935,0.09182539682539687,0.025083457632336464,0.010257811112888704
